dataset,true_N,sum_n,T,mean_n,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,coef_var_n
arboreal_geckos.txt,106,120,,,,,,,,,,,,,,,,,,,,,
cottontail_rabbit.txt,135,142,18,7.88888888888889,9,8,9,14,8,5,16,7,9,3,8,14,2,5,11,0,5,9,0.534076326848936
diabetes_italy.txt,,3504,4,876,1754,452,1135,163,,,,,,,,,,,,,,,0.814194539746272
dolphins_brazil.txt,,613,14,43.7857142857143,,,,,,,,,,,,,,,,,,,
domestic_violence.txt,,20894,,,,,,,,,,,,,,,,,,,,,
forced_labour.txt,,7268,2500,2.9072,,,,,,,,,,,,,,,,,,,
hepatitis_taiwan.txt,545,383,3,127.666666666667,135,122,126,,,,,,,,,,,,,,,,0.0521540061499691
heroin_usage.txt,,39086,,,,,,,,,,,,,,,,,,,,,
illegal_immigrants.txt,,2185,,,,,,,,,,,,,,,,,,,,,
meth_usage.txt,,3345,,,,,,,,,,,,,,,,,,,,,
opiate_usage.txt,,3448,,,,,,,,,,,,,,,,,,,,,
pleiades.txt,,185,,,,,,,,,,,,,,,,,,,,,
scrapie_france.txt,,170,,,,,,,,,,,,,,,,,,,,,
taxicab_edinburgh.txt,420,500,10,50,,,,,,,,,,,,,,,,,,,
