N,edges
10000,69012
10000,68839
10000,69057
10000,69429
10000,69138
10000,68952
10000,68935
10000,69069
10000,68936
10000,69090
10000,69134
10000,69011
10000,69231
10000,68630
10000,68875
10000,68674
10000,68479
10000,69243
10000,68883
10000,69360
10000,69024
10000,69583
10000,69708
10000,69160
10000,69016
10000,68732
10000,69278
10000,69149
10000,69273
10000,68737
10000,68664
10000,69159
10000,69091
10000,68953
10000,68545
10000,69174
10000,68771
10000,68969
10000,69038
10000,69130
10000,68796
10000,68895
10000,68724
10000,68774
10000,68901
10000,68718
10000,69234
10000,69041
10000,69276
10000,68959
10000,69078
10000,69280
10000,68680
10000,69581
10000,68874
10000,68777
10000,68530
10000,68883
10000,68971
10000,69394
10000,69240
10000,68357
10000,69329
10000,69015
10000,68664
10000,68649
10000,69068
10000,68699
10000,69136
10000,69303
10000,68990
10000,69132
10000,69192
10000,68690
10000,68532
10000,69043
10000,69079
10000,69001
10000,68695
10000,69092
10000,69113
10000,68876
10000,68752
10000,68688
10000,68930
10000,69070
10000,69021
10000,68865
10000,68770
10000,69153
10000,68637
10000,69030
10000,68973
10000,68984
10000,69129
10000,68995
10000,68826
10000,68745
10000,68386
10000,68599
10000,68895
10000,69178
10000,68392
10000,68865
10000,69264
10000,68988
10000,68922
10000,69137
10000,68689
10000,68570
10000,68856
10000,69206
10000,68837
10000,68681
10000,68584
10000,69381
10000,69303
10000,68895
10000,68920
10000,68992
10000,68714
10000,69275
10000,69448
10000,69047
10000,68828
10000,69200
10000,69144
10000,68794
10000,68778
10000,68967
10000,69043
10000,69202
10000,68862
10000,69083
10000,69310
10000,69614
10000,69079
10000,69173
10000,69273
10000,68964
10000,68747
10000,69225
10000,68359
10000,68980
10000,69148
10000,69465
10000,69253
10000,68988
10000,68715
10000,69340
10000,68869
10000,69331
10000,69222
10000,69452
10000,69159
10000,69279
10000,69710
10000,69327
10000,68893
10000,68851
10000,69020
10000,68646
10000,68959
10000,68971
10000,69327
10000,68463
10000,68549
10000,68625
10000,68987
10000,69209
10000,69000
10000,69096
10000,68953
10000,69238
10000,68468
10000,68421
10000,68667
10000,69313
10000,69057
10000,69080
10000,68978
10000,68798
10000,69079
10000,69007
10000,69061
10000,68776
10000,68746
10000,68759
10000,68699
10000,69020
10000,69057
10000,68775
10000,68894
10000,69196
10000,68737
10000,68983
10000,69066
10000,68897
10000,69057
10000,69201
10000,69041
10000,68991
10000,69256
10000,69069
10000,68932
10000,68995
10000,69482
10000,69345
10000,69109
10000,69396
10000,69047
10000,69193
10000,68960
10000,68834
10000,68833
10000,68683
10000,69099
10000,68931
10000,68941
10000,68985
10000,69279
10000,69156
10000,69253
10000,68598
10000,68986
10000,68662
10000,69249
10000,68876
10000,69337
10000,69027
10000,68700
10000,69020
10000,68969
10000,68604
10000,69218
10000,69088
10000,68822
10000,68836
10000,68500
10000,68783
10000,69030
10000,69174
10000,68343
10000,69176
10000,68814
10000,68800
10000,69226
10000,68979
10000,68926
10000,68933
10000,68909
10000,69228
10000,69241
10000,69280
10000,68806
10000,69256
10000,69257
10000,68514
10000,69198
10000,68669
10000,69244
10000,69305
10000,68964
10000,69179
10000,68955
10000,68987
10000,68639
10000,68781
10000,69035
10000,68973
10000,69332
10000,69414
10000,69062
10000,68695
10000,68956
10000,68633
10000,69079
10000,68859
10000,69245
10000,68447
10000,68937
10000,69418
10000,69300
10000,68578
10000,68947
10000,68861
10000,69189
10000,68999
10000,69389
10000,68915
10000,68730
10000,68748
10000,69183
10000,68564
10000,68771
10000,69054
10000,68685
10000,68812
10000,68548
10000,68831
10000,69279
10000,69001
10000,69077
10000,68781
10000,68713
10000,68876
10000,69116
10000,69068
10000,68860
10000,69454
10000,69105
10000,68944
10000,69139
10000,68681
10000,68405
10000,68692
10000,69115
10000,69190
10000,69303
10000,69229
10000,69162
10000,68969
10000,68990
10000,69516
10000,68675
10000,69210
10000,68578
10000,68790
10000,69134
10000,69331
10000,68552
10000,68716
10000,69353
10000,69052
10000,69328
10000,68876
10000,69052
10000,68575
10000,69544
10000,69002
10000,68836
10000,69440
10000,68828
10000,68809
10000,68805
10000,69238
10000,68700
10000,69067
10000,69462
10000,68826
10000,68821
10000,68801
10000,69191
10000,69128
10000,69650
10000,68740
10000,69060
10000,69077
10000,68970
10000,69022
10000,69129
10000,68961
10000,69206
10000,68976
10000,69135
10000,68766
10000,68915
10000,69555
10000,69235
10000,68913
10000,68765
10000,68979
10000,69032
10000,69165
10000,69395
10000,68931
10000,68784
10000,68941
10000,69154
10000,68833
10000,68965
10000,68930
10000,68868
10000,69142
10000,69254
10000,68936
10000,69208
10000,68946
10000,69201
10000,69050
10000,68801
10000,69068
10000,68572
10000,69298
10000,69183
10000,69145
10000,69519
10000,69065
10000,69079
10000,69349
10000,68898
10000,69187
10000,68827
10000,69474
10000,68770
10000,68677
10000,68650
10000,69215
10000,69056
10000,69098
10000,68987
10000,69053
10000,68839
10000,69149
10000,68699
10000,69095
10000,69163
10000,68938
10000,68740
10000,68972
10000,69575
10000,68845
10000,69030
10000,69043
10000,68993
10000,68998
10000,69254
10000,68576
10000,69355
10000,69265
10000,69111
10000,69300
10000,68863
10000,68661
10000,69407
10000,69219
10000,69107
10000,68424
10000,68978
10000,68599
10000,68843
10000,68987
10000,69039
10000,68273
10000,69074
10000,68800
10000,69013
10000,68785
10000,69218
10000,68847
10000,69338
10000,68853
10000,69239
10000,69466
10000,69021
10000,69028
10000,69118
10000,68958
10000,69263
10000,69360
10000,69262
10000,68932
10000,69298
10000,69018
10000,69109
10000,69301
10000,69437
10000,69160
10000,68709
10000,69095
10000,69465
10000,68974
10000,68682
10000,69617
10000,69241
10000,68848
10000,69025
10000,69618
10000,69043
10000,69330
10000,68347
10000,68976
10000,68703
10000,69047
10000,69096
10000,68954
10000,69077
10000,69541
10000,68831
10000,69120
10000,68890
10000,69150
10000,69116
10000,68840
10000,69153
10000,69065
10000,68667
10000,68919
10000,68920
10000,68892
