tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted
1596303315276791808	@elonmusk @RBReich Elon, we love you, precisely because tyrants like Reich hate you. He did not utter a word when the Fed gave trillions to the Banks for 2008 crisis or Covid. He was Labor Secretary and surely knew names; could have called out. He is a pseudo-Marxist who wants to grind all under	3672630558	44196397.0	1.5960507699538862e+18	['44196397', '148529707']	
1596303315884818437	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	822904659090243585			['611986351']	1.5961710505467617e+18
1596303316350251008	RT @lants: I did surgery/chemo/radio alone through the long stage 4 lockdowns in Victoria. No one looked after me. Weeks on end I didn't se…	27175242			['15094290']	1.5960742540044698e+18
1596303315461021696	"Domestic COVID-19 Status Update November 26:
Total: +52,788 (52,726 acquired locally)

#coronavirus #COVID19 #COVID19korea #covid https://t.co/h1bOkv6Pj8"	1232959819776024576				
1596303316761608193	"RT @NewsHour: New COVID-19 cases and deaths are up from two weeks earlier. 

Yet, a fifth of the U.S. population hasn’t been vaccinated, mo…"	895971572393156608			['14437914']	1.5962624775533486e+18
1596303317239754752	RT @Windoctorx: What was the rush to wheel out a vaccine for a virus that carries a 99.7% survival rate in the first place?	1025041364625633280			['909879719734251521']	1.5962996648899707e+18
1596303317541523459	"RT @JamesBradleyCA: Joe Biden:

Shutdown the Keystone Pipeline which decreased our oil supply.

Opened the border to invasion during a “pan…"	105914292			['1112724144427139072']	1.5961699164527002e+18
1596303317726294016	RT @KathyKrahulic: @bruceanderson Not an objection to vaccines but vaccine mandates.	1461830107312672773			['1511770823111049219', '80374392']	1.596288507085226e+18
1596303318539960320	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	128421638			['337808606']	1.596242318792614e+18
1596303319332290560	"RT @lhilakari: Best cooker lines heard on the booths today:

- mosquitoes have been genetically modified &amp; released to attack people. 

- u…"	45291573			['290308014']	1.59629980395196e+18
1596303319806357504	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	1589822172431802368			['806344552718045184']	1.5962870273011876e+18
1596303320167374848	RT @Sandyboots2020: Immunologist and one of the most accurate voices in the pandemic @fitterhappieraj has been warning that COVID-19 could…	3828603869			['1309417499398746112', '88589013']	1.5962085150977024e+18
1596303320229912576	RT @AbduwelA: What happened Nv 24 in Urumchi, two Uyghur girls telling from the beginning of the lockdown, what difficulties they were in a…	1253572755947020293			['1076925599074172928']	1.596122422587011e+18
1596303320511287296	RT @Windoctorx: What was the rush to wheel out a vaccine for a virus that carries a 99.7% survival rate in the first place?	860675720695042048			['909879719734251521']	1.5962996648899707e+18
1596303320800325632	RT @VernonForGA: After a grilling deposition, now the chief Covid liar &amp; engineer who single handedly brought this country to its economic…	1505161088639410179			['900021957424447488']	1.5962939738402202e+18
1596303320825884672	@POTUS There is no peace of mind with these vaccinations. I have received 4 covid shots and still got it. The sheer rhetoric from your government reminds me of 1984: You can't add up to 5 unless you have all 4 blocks!	1378060837613633539	1.3491490969096684e+18	1.5961869569787167e+18	['1349149096909668363']	
1596303321119494144	@MarshaBlackburn Why China was allowed to in the first place to be experimenting on this bat virus thing? Why USA not holding China accountable for over 6.63 million deaths by COVID....China is more dangerous to the world than any other country	1352057258310438913	278145569.0	1.5962906386049475e+18	['278145569']	
1596303321169469440	@DrakeBatesMrD66 @Mi_Astronauta @green_cait @bluemountnskies @Awithonelison @barryjohnreid21 @DavidGregham @FormerAntivax @Elle_Ham06 @tenebra99 @Je55ika420 @doritmi 0.3% of the US population died FORM covid WITH mitigation efforts in place. is that not enough death for you?	26307708	4540600392.0	1.5963006118255944e+18	['4540600392', '1355451530', '2885052535', '585968484', '2338214224', '985212325971070976', '1117209415285866496', '1257411903753617408', '777175796217737217', '1008761901503975425', '1411359312413331457', '54886540']	
1596303321727385600	RT @eiryngs: Here it is, a crowdsourced compilation of COVID safety &amp; public health related sales – to help us upgrade protection and care…	3298443798			['186878595']	1.596039709557674e+18
1596303322306072576	@ygceojennie @Haggis_UK The government are paying over £700k a day to store unusable ppe	1312729009034272769	7.698314905490555e+17	1.595901053857575e+18	['769831490549055488', '351784239']	
1596303321664737280	"@lavern_spicer @JamesBradleyCA 06:11 Am 26 November 2022

The COVID pandemic interrupted measles vaccine campaigns globally in 2020 and 2021, leaving millions of children unprotected against one of the world's most contagious diseases, whose complications include blindness, pneumonia and death https://t.co/jeAAexv7Yl"	1536835295017988096	1.187835922118787e+18	1.596268444361818e+18	['1187835922118787073', '1112724144427139072']	
1596303322469670912	"RT @Oneguy83440339: @AmieVarley I wouldn't ridicule anyone for wearing a mask.
 It's their choice.
It's also their choice to wear it proper…"	1488242426670161921			['1491837996877942785', '1340489885103362048']	1.5958063903832515e+18
1596303323011117057	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	1556151108732608512			['337808606']	1.596242318792614e+18
1596303323099168768	@POTUS Government COVID is just like the 51st state Ukraine	1415073882399297542	1.3491490969096684e+18	1.5961869569787167e+18	['1349149096909668363']	
