tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	retweeted	replied_to
1596383463682494465	"@AmerMedicalAssn From Epoch Times: #Vaccine Adverse Effects Reporting System shows a 143,233% increase in #cancer cases. Here's how the COVID-19 vaccine might be affecting your immune system.

🔵 Watch Now at @EpochTV 👇
https://t.co/A5GhWtDrA4"	2399288407	27922157.0	['27922157', '4452561672']			
1596383463480827905	"Anecdotal investigation… the more boostered the more repeat Covid infections 😂 😂 😂 😂 

Just madness.  There is real science behind this #ADE https://t.co/GSC06fuyQl"	1085868047267549189					
1596383464931983360	Grifter Monica Smits outfit, mates with Sophie Bastiaan. This stuff is dangerous. There were two abusive nutjobs at the booth today. https://t.co/B1eB24vZ3N	817219327107600388			1.5963784168274903e+18		
1596383465070632960	RT @AngryMomUSA: @GovMLG Why are you pushing this crap?	414895815		['729398348', '1070083706822438912']		1.5956422684460974e+18	
1596383465418919937	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	3368638815		['806344552718045184']		1.5962870273011876e+18	
1596383465519579137	"@MarikaSboros Righto...find a good cardiologist too.
https://t.co/u1yCMf2vHr"	920220659120082944	332718371.0	['332718371']			1.5963827658383729e+18
1596383465565478912	Strange isn't it? The piano songs that dropped during peak covid are way better than what has been released since lockdown ended	4180103950					
1596383466563596288	@coronavirus you have a Twitter handle Covid? What will it take for you to stop showing out?	1292559700651843586	30419900.0	['30419900']			
1596383467545165826	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	220356541		['101852818']		1.5961731857830707e+18	
1596383467528687616	"@AndyBxxx It will be much better to wait for the new ""breathe type vaccine"" to prove it is effective to block the virus from entering the blood streams, or a new rapid cure is developed."	16797754	16797754.0	['23499976']			1.5963805035817984e+18
1596383468078116864	RT @Uyghur_American: The girls talk about how they have all been very compliant, that others would have rioted by now but they haven’t, and…	940685433679372288		['1075435039008219136']		1.5961366569599918e+18	
1596383468304633856	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	21693498		['806344552718045184']		1.5962870273011876e+18	
1596383471400030214	"@ozsarsparella @Miss_EmmyVans @IRanalyst That’s just not true. You can’t just make things up and expect people to believe it. Sorry. 

Most issues with large operations is because of the pandemic and it’s affect on skilled staff. That’s across the board. It amplified in the medical system."	1248230969070346241	1.494179198994645e+18	['1494179198994644993', '1568416624251908096', '19219934']			1.5963811878825165e+18
