tweet_id	text	author_id	in_reply_to_user_id	mentions	replied_to	retweeted	quoted
1596388181460459520	Really hope the pandemic can end soon.😢	1419812037220175872					
1596388181234290689	"Vaccine INDUSTRY IS DEAD. 
Your “medicine trials” have not been in the interest of Black Africans lives or “ HEALTH” in Africa for decades.
https://t.co/IF1foTLFG6 

Get out of AFRICA -BETTER STILL F@ck Off @drnathimdladla @LandNoli @KidiPotse @billynyaku @h_suevan @moozir"	309703540		['1383440714193797123', '2575115489', '1071119210', '324495501', '1324394799164805122', '30835371']			
1596388182182236162	"@EddyJokovich ""Sydney more lockdown days"" goes straight in the misinformation/spin garbage bin"	1444174660124299265	29420301.0	['29420301']	1.5963218756130857e+18		
1596388183457296385	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	1549718228418576385		['1577761560394665984']		1.596231410502738e+18	
1596388184270798848	RT @SCOTTeHENSLEY: We developed a new multivalent mRNA vaccine against all known influenza virus subtypes. Our study describing the vaccine…	2177490125		['741711336636317697']		1.5961637509602714e+18	
1596388186707689473	RT @1goodtern: The term 'body tissue' might feel a bit vague and terms like 'endothelial tissue' might feel a bit technical, but regular fo…	827944764062445570		['960817018193764352']		1.5960345104786063e+18	
1596388188037451776	"RT @BelindaJones68: ""But he sought to move into other portfolios, as Bell says, not because of the pandemic, but to give him executive powe…"	1435922353200918528		['60779696']		1.5962634319085036e+18	
1596388188469149696	"RT @Rodri117xd: Pandemic?...2022?.....
Dude you fell a sleep while we we're listening to music, it's 2012.......
anyways i made this cool d…"	284071773		['4896488062']		1.5413443524374036e+18	
1596388188897136640	RT @mahmouedgamal44: Egypt is currently expanding its agricultural/animal production projects, mainly through the NSPO which carry most of…	1196527897118421003		['1186799310']		1.5962716357657887e+18	
1596388188871958529	Like Trump said, its a Chinese virus https://t.co/XXeiZWk4Lr	375483499					1.5963771536956703e+18
1596388189056696320	Use N95 respirators. They have fisical and electrostatic barrier that trap the virus. Mutating induced evolution can't cope with size and electrostatic barriers. Ventilate and use HEPA filters indors.   (3/3)	3328691159	3328691159.0		1.5963821775325594e+18		
1596388189530632192	RT @paulrtrotman: mRNA vaccines for all flu viruses!! The mRNA 💉 don't work and there is overwhelming evidence they are causing injuries an…	1585857192317652998		['1358511065605226497']		1.5960674094497382e+18	
1596388190973267968	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	855156376951283712		['28197128']		1.5962430017347502e+18	
1596388191359074305	"@dgurdasani1 @Csvich “Researchers in Denmark reported on Wednesday that surgical masks did not protect the wearers against infection with the coronavirus.”
https://t.co/Yu9ZbRN1nu"	1134094576015302656	9.209437102543135e+17	['920943710254313472', '38582138']	1.5961719016297718e+18		
1596388192353411072	"@thephysicsgirl There is now medical structure to cope with or deal with Long covid at its worst. Mild is manageable as you can take in the advice and attend meetings. But not severe. 
Then there's the underfunded research on minimising it as a mental illness... too much to fit on twitter"	249326070	249326070.0	['529126022']	1.596387195144835e+18		
1596388193645244417	RT @Stirling20121: @BigBadDenis @DanielAndrewsMP Except for the 68 Victorians that died from Covid in the last week or their loved ones gri…	425580734		['1089484473425514496', '1065397059262414848', '228535666']		1.596265552951251e+18	
1596388193955622912	"Respected @AadhiOfficial garu Am from Warangal Dist Telangana State.Could u plz provide some financial help to buy 2nd hand SUV so that I can run a cab for hire purpose,Coz I only know how to drive.This COVID period made my family such a bad condition with no job
Plz help sir🙏"	991220223645798400		['2356221583']			
1596388194723180545	"RT @MeetJess: Long COVID could be leading to a wave of erectile dysfunction as the pandemic invades our sex lives

We don't have all the da…"	270633133		['312412918']		1.5963232734402068e+18	
1596388196069560320	@BAbiotti @OCDSB Yeah… Pat is it? That’s not a great example of carefully thought out planning on Alberta’s part. Not to mention that thier new premier is cracker jacks. The room is full of Covid, Flu and RSV and those who are considerate humans are masking and opening the windows.	1194645169666220033	1.5935407511027302e+18	['1593540751102730242', '209596323']	1.5961277563704484e+18		
1596388196690309121	RT @STPINoida: Arficus Pvt. Ltd., a startup of #STPIMedTechCoE, will showcase an #AI-based medical image analysis tool for automatic predic…	3253297512		['3253601809']		1.593514452141609e+18	
1596388198036475905	@BallouxFrancois There’s no support for them at the top. Fixed it for ya. My president told me the pandemic is over. It doesn’t work with his political strategy.	2194625778	1.1137476292829307e+18	['1113747629282930688']	1.5957019244473754e+18		
1596388198082437120	"@JohnRuddick2 As we say in KFF.....
""We came for the Covid, but stayed for the Corruption""
#PutLaborLast"	1368470677	1.0090225799007027e+18	['1009022579900702721']	1.596387681608831e+18		
1596388199223656448	@TheExtraFiles @D_Bone I got EBV Covid. I never had any symptoms in my life.  I have the sore throats all the time now- never had before Covid.	64210293	1.4840394410144276e+18	['1484039441014427649', '15423737']	1.5963866025695887e+18		
1596388201073152002	RT @supertanskiii: Michelle, I’m torn. Which is the best shade of lipstick to wear when (allegedly) pocketing £29m of taxpayers money for f…	1238677436184825863		['2732180892']		1.596152549840937e+18	
1596388202000297984	RT @SkowMatthew: It’s like someone should make a movie that explains it all @DiedSuddenly_  #DiedSuddenlydocumentary #diedsuddently	1487664625965355013		['2198997212', '1577761560394665984']		1.5963744237410386e+18	
1596388202499444741	RT @EllingUlrich: Good genomic surveillance of SARS-CoV-2 clearly remains important as highlighted by WHO. Unfortunately also many European…	16052167		['3292887904']		1.5961887723492188e+18	
1596388202956599297	. Time to join forces and become one large right leaning group to take on the next election  @reformparty_uk @thereclaimparty @LozzaFox @MartinDaubney @TiceRichard @Nigel_Farage @GBNEWS @PatrickChristys   @DCBMEP @Arron_banks @_HenryBolton @profsked @benhabib6 @heritagepartyuk https://t.co/Rv9dJWXwPm	1583830899728474112		['1094881364887986177', '1308666120585572352', '81371986', '568143078', '1466783923', '19017675', '1339166129110065152', '20677726', '70664947', '3390728889', '2887955249', '711087387523358721', '2790295109', '1301125179016458240']			1.5963700309329347e+18
1596388203170500610	"RT @morethanmySLE: If you are still wearing a mask to protect yourself &amp; others from Covid, please reply with 😷

😷😷😷😷😷😷😷😷"	17863822		['812361923304034304']		1.5962829343525765e+18	
1596388203728175104	"RT @GranataLLC: @akheriaty Aaron, great reporting.  

It’s clear this actions LOCKDOWNS and vaccines were globally orchestrated:
- UKs Impe…"	34874146		['1468735116377825289', '54322957']		1.595964420999422e+18	
1596388206043627521	This happens in China all the time, there is no fundamental respect for the need. In fact you could argue they only plan for these things to imitate western countries. https://t.co/IVkGZWnlvw	1381705703081963520					1.5962119418902077e+18
1596388206165250048	I had never watched ‘The Leftovers’, but 20 min in and it makes me feel like it relates to the pandemic. Something about people’s attitudes and the political dynamics are quite similar	1518998143421100035					
1596388208212070401	"RT @Alp_Trader: @PMA500KING @RetirementRight President Xi does.
10s of millions in lockdown.
We care about supply chains.
I agree. The viru…"	910357294109556736		['962049253970395136', '1463739990391861253', '910357294109556736']		1.5963877988561306e+18	
1596388209193549824	RT @MarshaBlackburn: Communist China's failed zero-COVID policy has resulted in record infections, destroyed livelihoods, and created a men…	1410112619495792642		['278145569']		1.5962906386049475e+18	
1596388209247760384	IND v NZ: Washington Sundar played an amazing cameo and built that partnership for us, says Shreyas Iyer https://t.co/odKfznuQ0m #LOCKDOWN #InternationalNews #NewsFeed #Breakingnews #Viralnews #Modi #INSTAGOOD #USA	142324679					
1596388208408936449	@AccountingAsArt @Whats_Your_And Wife tested positive for covid Wedneday morning.   Threw all our travel plans out the window. Got a turkey and stayed up overnight thawing and prepping. She was crying at 9 pm as I was at grocery. Made it work. https://t.co/NTvRcG8dnf	273438048	1465014780.0	['1465014780', '886654981952110593']	1.596129105686106e+18		
1596388214797111297	"RT @leelasik: I have proof that Dr. Fauci COVERED UP the BIGGEST MEDICAL MISTAKE IN HISTORY.

The COVID antibody has no path into the lung.…"	1594594104410882048		['3236732524']		1.5806626284346614e+18	
1596388216688373760	RT @Ayjchan: @JamesCTobias It's clear from the emails that the leaders of funding agencies that had funded the Wuhan Institute of Virology…	41063062		['431762931', '1944680329']		1.5954014893374177e+18	
1596388216894259200	RT @choeshow: #SCOOP: More ASIAN HATE in #Seattle. Prosecutors say they charged WHITE HOMELESS man w/HATE CRIME after breaking nose of Chin…	869207251457724416		['1400007925']		1.5963241349210726e+18	
1596388216940408832	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	1576123374354534401		['806344552718045184']		1.5962870273011876e+18	
1596388217971843074	1. Relationship Status: Single. I've thought about dating, but with the pandemic still raging and me needing to get my shit together I just don't think I'm ready to try again yet. Not until I have more therapy under my belt.2	533775716	533775716.0		1.5963882165499576e+18		
1596388218953310210	RT @CasaOpinions: Violence against women and girls remains the most pervasive human rights violation around the world. What have you done t…	1562810998582824961		['1529496783839174656']		1.5963798989179658e+18	
1596388219461197830	"RT @fitterhappierAJ: Well, looks like they are acknowledging the immunological harm that SARS Cov 2 does

I told you all long ago, many tim…"	832019161454817280		['88589013']		1.5962063842444698e+18	
1596388220001927168	"RT @yaneerbaryam: ""Yes, a principal is telling someone’s wife to divorce him because he wants to protect them from a deadly, disabling viru…"	209842522		['252608121']		1.5957522608267223e+18	
1596388222556286976	"RT @JanJekielek: ""There's a big spike in vaccination in April. And there's a big spike in deaths in September.""
 
Steve Kirsch argues there…"	1458602277225201669		['15719232']		1.595893348035752e+18	
1596388223151792128	RT @ChinaUncensored: More Covid protests https://t.co/6zyhZhx23R	1034424451738230784		['833100331']		1.5961151268093993e+18	
1596388223952949249	RT @DrJBhattacharya: If major scientific bodies continue to embrace censorship of public discussion of scientific issues, public trust of s…	973013557297082368		['1427361863830949908']		1.5963752837662925e+18	
1596388225395806208	Man if we can't get it right in the us, and no one can get it right where the lockdown still happen? We're not going to. https://t.co/B3H3tb3S2I	21112073					1.5963507201940111e+18
1596388228646543362	RT @RobertKennedyJr: After analyzing more than 7 years of Massachusetts death certificates, independent investigator John Beaudoin, Sr., un…	1171110398256386048		['337808606']		1.595173745165013e+18	
1596388229736824832	RT @TYakushigawa: I was at the pharmacy for Rota virus vaccine. Waiting for so long so I asked if my turn was omitted. It took some time to…	20240252		['1083780054201585664']		1.596096701718487e+18	
1596388229632049153	"@SaturniusMons @SimeonBrownMP They were extending parliamentary sessions until midnight to get this passed. 

I assume you went home from work before midnight this week?"	1592784961853042688	2792230581.0	['2792230581', '847369591483277320']	1.5963765560203305e+18		
1596388231846989826	RT @Michael_Yon: Under this evil, fake ‘administration,’ more will die from disease, poverty, fake vaccines, and drugs.  Like your son, the…	1518916908204142592		['56443453']		1.596377556315689e+18	
1596388232627113988	RT @HaveWeAllGoneM1: NDP government at work again 👇🏼	518838348		['1008103433822351360']		1.5963827221127496e+18	
1596388235105771521	RT @joeolivermd: Kids are testing positive for Influenza + RSV at the same time. Probably also Covid. Now would be a superb time to get you…	1448113670802837514		['1089917743275667457']		1.5962860168426988e+18	
