tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	replied_to	retweeted
1596417080391524357	Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return flight. They can't work in this critical situation. Please make a decision abt new plan and promote them in another countries. @WayV_official @SMTOWNGLOBAL	3128929375		['1033994695595065347', '884378714']			
1596417080756039680	I wonder what the Tory Brexiteers say to the little people? The founders of The Isle of Olive in Hackney who poured their hearts into the project. Other than remain in denial and blame Ukraine and the pandemic https://t.co/Mzjb3C0vie	1269789842			1.5959137871060132e+18		
1596417080538038272	@InchesNFL “Coconut and coronavirus” https://t.co/ioYI9bdWSD	1569992852137967616	1.3040738544327434e+18	['1304073854432743426']		1.5964152996909793e+18	
1596417083478536193	RT @pmiirl: Our special category Award tonight… Ireland’s Greatest National Impact Project (Sponsored by @PwCIreland) goes to HSE Covid Vac…	713440267337129985		['34571700', '280918661']			1.5958944123869225e+18
1596417083646300160	RT @mat1dog: Amongst the direct costs of the government's Covid support measures (current estimate £376 bn) there are some interesting item…	3408849359		['1255541652300726279']			1.5964155543315005e+18
1596417084354752512	"RT @LouisHenwood: Michael Gove is neck deep in this scandal, I hope this is the end of his inglorious career

I bet this Michelle Mone PPE…"	436078912		['1010583751460622337']			1.5962914170765353e+18
1596417085307224065	RT @TaylorLorenz: Paxlovid has *not* been widely available. It’s still extremely difficult to get, nearly impossible  for the millions with…	1564831808461611009		['208725869']			1.596076205845123e+18
1596417086825582592	@ellievarley13 Do you have any insights into why she was content to represent the Conservative party when corrupt and immoral Boris Johnson was leader, but now the country is having to pay the price for his disastrous mismanagement of Brexit and COVID, it’s all become too much for her?	200066409	2444980605.0	['2444980605']		1.5961753846762742e+18	
1596417087525855234	"@LiesseInfo Work from the comfort of your home.
Reviewing apps. Check this out. https://t.co/cdIHO05EjW"	1585631256724656130	1.5824105391580774e+18	['1582410539158077440']		1.5964131420701e+18	
1596417089404706816	Facemask is trending, and as a reminder for everyone, wear your masks 😷 to reduce the spread of COVID-19.	17206784					
1596417091003088896	RT @NightStranger24: Isn't this actor from Australia? I bet he'll make one hell of a politician in the motherland! 👇	1216024266082324485		['1553469129734111233']			1.59640672650027e+18
1596417093045395456	RT @parity_warrior: Lady Mone is accused and still the Tories won’t come clean about PPE. What are they hiding? | Angela Rayner https://t.c…	19240724		['769442212732145664']			1.596377695012606e+18
1596417093276401664	RT @delbigtree: Worth every penny!!   https://t.co/UpRwKoLiKT	1370874807672246276		['45598972']			1.5954527374451548e+18
1596417094089842688	"RT @Haggis_UK: Sarah Owen - ""We have all seen the shameful Guardian front page this morning, but the front page that sticks in my mind is t…"	126119575		['351784239']			1.595735473971921e+18
1596417094924775425	RT @Reuters: Huge COVID protests erupt in China's Xinjiang after deadly fire https://t.co/rHJeHgC31D https://t.co/je8LVUyJqz	2623031806		['1652541']			1.5964122283114168e+18
1596417095952003072	"RT @uhbtrust: Out Christmas shopping this weekend?🛍️ 
While you’re getting on with your Christmas prep, remember it takes two weeks for you…"	299779218		['25067779']			1.5964162372060488e+18
1596417097562984450	"@Banky__moon Someone need this 

Make more money working from home in a very legit way.. https://t.co/qLTk5NcqhG

100% real 👆👆👆👆👆"	1483443979354050562	859554973.0	['859554973']		1.5963987881925427e+18	
1596417097806278657	RT @morganstephensa: There is economic interest in every facet of not recognizing the vastness and severity of Long Covid. Blood clots, str…	1090154022512713729		['52520708']			1.5946817399553925e+18
1596417098653511680	RT @thisispxwer: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return…	824516175572803584		['290522031']			1.5964170158789222e+18
1596417099664347137	RT @RisetteMD: Just remembering one of the saddest moments in my life was when, at the end of a three week stretch working during the Delta…	25877022		['1549164560204038144']			1.5958477944677827e+18
1596417100297699328	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	2605288351		['731900980862705664']			1.5964106757602222e+18
1596417102159941632	"RT @dozecat007: @carolvorders Daily Mail today ""Tory peer [""lady"" Michelle Mone] suffered a fresh blow last night as a Westminster sleaze w…"	839802908		['841346448', '175420754']			1.5964163157654405e+18
