tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	quoted	replied_to
1596430088299769856	"It's the quitting trend that just won't quit 📈

The rate of people leaving their jobs is 25% higher than pre-pandemic levels.

Discover more insights into the most common reasons people leave their jobs: https://t.co/Aeb3MRoZug https://t.co/44ytnYUL9N"	1548435690					
1596430089453207552	#Covid19 #Plandemic is a pandemic of vaccinated ones  as it is these fools who are risking lives of not only their own families but also families of others by shedding this #BioWarfare agent says Visionary @IMPraveenDalal. @_AFPOH @_ETax @_GroundReality @_OfficialECI @_CEPHRC https://t.co/EE9ZNekSzF	1091725254764879872		['1023768630230577152', '1011567779462328321', '883776703595663362', '788351146700120068', '1073486180967079936', '894496485697495041']			
1596430091047047169	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	3004869816		['731900980862705664']	1.5964106757602222e+18		
1596430091160268800	RT @DrJohnB2: So, having pushed the vaccines on thousands of pregnant and breastfeeding women, the UK authorities suddenly decide the Pfize…	1367587643194753027		['1400013985202704385']	1.596215121868628e+18		
1596430091667460097	incredible https://t.co/8KsGPQLoP0	860196443151147009				1.5955381688534548e+18	
1596430092275974144	"RT @DrJohnB2: Adenomesenteritis following #covidvaccination:
https://t.co/imWtvhL56T
A case of a 13-year-old girl.

""Certainly, larger stud…"	1487664625965355013		['1400013985202704385']	1.5962067642984858e+18		
1596430092569350145	"RT @WHO: Nearly 4⃣0⃣ million children missed a measles vaccine dose in 2021.
 
🚨 According to the latest data from WHO &amp; @CDCgov, global pr…"	766040590018641920		['14499829', '146569971']	1.5961025465269166e+18		
1596430093047545860	RT @david_r_morgan: If you watch any video today, make it this one. Andrew Tate absolutely nails the Covid scam in 90 seconds. 👇 https://t.…	983422880670273537		['1108431749820882947']	1.5959077993047654e+18		
1596430093273866240	RT @bemy10velyjay: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	239212640		['731900980862705664']	1.5964106757602222e+18		
1596430094104690688	"RT @DrAseemMalhotra: Launch a Public Inquiry into the approval process for covid-19 vaccines

We want the Government to launch a Public Inq…"	756966328880291840		['472777204']	1.5961530268884787e+18		
1596430094792278018	RT @gro_tsen: The amusing thing about studies on hybrid (:= vaccination + infection) immunity, and this thread🔽 in particular, is how they…	1414265036		['1018078984280657920']	1.5964288011346002e+18		
1596430095433887744	@JohnRuddick2 Like you commenting on the vaccine? 🙄	808228943773843456	1.0090225799007027e+18	['1009022579900702721']			1.59611780832444e+18
1596430095467839488	New research, applying lessons from #Covid-19 are key to #SA's future #TB intervention plans https://t.co/cgAxtXut8k	864773255260930053					
1596430095648161793	RT @PPEtoheros: @LauraMiers @SarahLerner @CDCgov If you search the CDC Twitter account for N95s you’ll find that they only mentioned N95s t…	845785991910584320		['1244198220366000128', '170280910', '90711442', '146569971']	1.5948545143723459e+18		
1596430096067592192	RT @Pondleg: What Hunt would like for us.	2811558498		['217247044']	1.596427691112026e+18		
1596430096566747136	"RT @marcfriedrich7: 100 Million People in #China now in a #Lockdown 

#covid

https://t.co/XT93D6BOyj"	1231540204906930176		['1027290944524247045']	1.5964282671078031e+18		
1596430097078272002	RT @eyejosh: @JulianE95250219 @jeanid123 The BBC won’t mention this scandal because No 10 instructs the BBC - and No 10 knows that stealing…	1217473086867591168		['59305661', '1471933769049378827', '396011927']	1.5963150360995635e+18		
