tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596485892234833922	"RT @KieronMoyles: Just a reminder about Matt Hancock.
He wasted millions giving PPE contracts to Michele Mone &amp; his pub landlord.
He sent s…"	27909045		1.5962593752319508e+18	['124461963']		
1596485892646252545	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	3066668862		1.5964838459933778e+18	['95092020']		
1596485893397045249	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	3290877572		1.5964838459933778e+18	['95092020']		
1596485895120916481	RT @PeterSweden7: ▪️Norwegian doctors are sounding the alarm about a mysterious rise in patients and excess mortality. And it's not covid.…	1447981431389569035		1.5896005175711089e+18	['707231479047315456']		
1596485895300927488	RT @LifeLibertyEvan: If Covid taught us anything it’s that way too many people are okay with the government taking their freedom away.	833580955		1.5959766311596032e+18	['708531498450812928']		
1596485895401910273	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	221594859		1.596242318792614e+18	['337808606']		
1596485895665786880	Petition: Launch a Public Inquiry into the approval process for covid-19 vaccines https://t.co/fJtNLzRN3y	161962841					
1596485896638963712	@POTUS HHahhaa except the WAPO announced most COVID deaths are made up of vaccinated people. You are a LIAR	1354456747310776329	1.3491490969096684e+18		['1349149096909668363']	1.5961869569787167e+18	
1596485897465143296	RT @DrVicFielding: Can the pundits on ABC election panel stop talking about anti-lockdown-anti-Andrews sentiment like it’s a legitimate pol…	424062631		1.5964025493385626e+18	['139328853']		
1596485898556043264	RT @2701___ttenae: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the retur…	202235191		1.5964156815198495e+18	['856074716997533697']		
1596485899432636417	"RT @OxfordSevenStar: Global Vaccine Disaster Report-373

rwmalonemd posting on #GETTR：Need for regular booster shots is the conclusion??!!?…"	1502599854530318339		1.596303366883537e+18	['1574564787555803136']		
1596485899499540481	"RT @MyBoxerLuvMac1: 💔Luna💔
#NYCACC #157572 3y
▪️To Be Killed: 11/29💉
▪️Pneumonia
▪️Can be killed anytime if cond worsens!
Total gem+vol fav…"	1100457435444269064		1.596230797832618e+18	['1214648962491269125']		
1596485899885445121	RT @BobGeor27574923: https://t.co/MdN7tmlK2H Why are the public paid police NOT investigating every MP involved in this disgraceful scam? W…	1972907592		1.5961842615054787e+18	['1173575388905316353']		
1596485900330061824	@LayahHeilpern Didn’t trust the vaccine.	1266486503066271745	455937214.0		['455937214']	1.5961360820680827e+18	
1596485901906890752	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	940521418650894336		1.5964351920208773e+18	['1552407495255199745']		
1596485902075068417	RT @WritesBright: Billions of pounds wasted on dud equipment, funnelled into the pockets of Tory donors, with PPE now costing millions a da…	1208392668650385409		1.5961408381653975e+18	['2737003958']		
1596485903857459201	RT @Sandyboots2020: Immunologist and one of the most accurate voices in the pandemic @fitterhappieraj has been warning that COVID-19 could…	1563910876733837313		1.5962085150977024e+18	['1309417499398746112', '88589013']		
1596485904905908224	"RT @bobscartoons: I don't care where it came from.
I don't care how it got out.
I don't care how many times they release a virus/chemical t…"	1333455191996297216		1.5961607952341647e+18	['118044673']		
1596485906290315270	RT @JamesCTobias: The articles about these documents are starting to be published. It will be interesting and informative to see which outl…	1278555109262110720		1.595930108753318e+18	['1944680329']		
1596485906365841410	Trudeau is toxic https://t.co/xoJ0czf1vh	1713068696					1.59630243766451e+18
1596485906579742720	RT @nbevans1962: @GBNEWS It needs less managers , more nurses docs, ambulance staff ,health care workers itdoes not need diversity managers…	1074650352		1.5961323975482122e+18	['892349989971689473', '1339166129110065152']		
1596485907217285121	"RT @MyBoxerLuvMac1: 🎉🎊 Gomez🎊🎉
Has been Adopted!🎉

▪️We r thrilled he'll be getting all the love + MD care he needs!

▪️Tyvm 2 all 4 Pledgi…"	1100457435444269064		1.5961778314780344e+18	['1214648962491269125']		
1596485907552653312	RT @terrychristian: US Wall street financial experts pointing out brexit as the reason for the weak pound , not Covid or Ukraine https://t.…	855574699		1.596475356696961e+18	['18063173']		
