tweet_id	text	author_id	in_reply_to_user_id	quoted	replied_to	retweeted	mentions
1596500613608919042	And car travel showing a similar effect, although not as stark. (I’m guessing people find it easier to isolate in cars and also there are some cities where travel isn’t down quite so much.) https://t.co/5Kx71wEtgc	434898720	434898720.0	1.5961963497496248e+18	1.5964696115702866e+18		
1596500614124425216	"RT @Grouse_Beater: Mone - Justice Closing In?

""PPE Medpro was given £203m to supply face masks and gowns for the pandemic. Lady Mone refer…"	579049782				1.596092321526739e+18	['2971636169']
1596500614590054400	RT @Liz_Wheeler: Ontario doctors are instructed to medicate you if you don't want to take the COVID vaccine. More here: https://t.co/hBDcKu…	319470456				1.594814516948177e+18	['264361128']
1596500615357952002	RT @HuffmanForNC: For all those #maga R's claiming the government gave too many hand outs during #covid19 and people are lazy. Not one #mag…	761322918752247809				1.5963267177608847e+18	['941754604118831105']
1596500615567642625	"RT @HorangiKrong: ☀️ Be The Sun Bulacan - FREEBIES ☀️

Date: Dec. 17, 2022
Time &amp; Location: TBA
Strictly 1:1

✅ RT + Like
(show us the proo…"	1559569543579959297				1.5964764021778227e+18	['1477611148753391621']
1596500616255504384	RT @DrVicFielding: Forget about amplifying the voices of tiny cooker minority who have become completely deranged in their selfish, anti-so…	1018660693				1.5964568452749312e+18	['139328853']
1596500616846548992	RT @Storm4Congress: You don’t get to use “the science was evolving” as an excuse for poor response to Covid when the rest of us were right…	2336183962				1.5963791992203878e+18	['1272559122022629376']
1596500618415202305	@StephaniLorentz @BernieSanders Yes, Jeff Bezos was CEO of Amazon when they got 3.7 billion in taxpayer covid money? Then he jumped out in his golden parachute?	1364771125998153729	1.454548525275132e+18		1.5962430462905713e+18		['1454548525275131911', '216776631']
1596500618977619969	RT @TomFitton: Court rejects San Diego school district's COVID vaccine mandate https://t.co/3EruGFXZbM #FoxNews	1586864533305450496				1.596239833432744e+18	['18266688']
1596500618973437954	@TheRickyDavila Pelosi sabotaged the initial covid response.	1109868416310132737	341190477.0		1.596239080152408e+18		['341190477']
1596500618889527296	RT @venetianblonde: For God's sake, another puppy died at the @NYCACC of pneumonia. The NYC ACC has excellent emergency vet partners. Get t…	2717961075				1.5963294929515028e+18	['33203037', '153802121']
1596500619229270016	"@FiveTimesAugust @NoCovidVaxHere SAY NO TO COVID-19 VACCINES

Get your covid-19 Digital QR certificate  or PAPER CARD without taking the vaccine. Send a dm to get your QR Scan Covid-19 Passports without taking the vaccine 
Click the link below

https://t.co/I58fFocCzB"	910481736	19956739.0		1.5962696088220795e+18		['19956739', '1428308863112130566']
1596500620235923456	"RT @AndersonAfDMdEP: Just one example of totalitarianism: 
Redefinition of values!

""(..) I will not allow 'THOSE voices, THOSE special int…"	105890101				1.5964504342854738e+18	['900669223122472960']
1596500621305466880	RT @TracyWesterman: I’m not a Victorian; but I was in awe of Dan Andrews turning up for 132 pressers in a row during the worst days of the…	563556877				1.5964769938724905e+18	['376076845']
1596500621204389888	Update: he's negative!!! I am so happy for him, I just wish I can go on the very last day if I am confirmed negative too! I am a bit hopeful now haha https://t.co/h9zwdgNEoq	941006451899846658		1.5963064582407823e+18			
1596500622316310528	"RT @zhao_dashuai: Here's my take on the tragic fire in Urumqi Xinjiang, China
How did it happened, why did happen...🧵

Before this fire, th…"	2958529045				1.596398778357252e+18	['999061779870175232']
1596500622769111043	New study claims that 'fear mongering and misinformation' may be responsible for adverse effects attributed to vaccines https://t.co/solvUZWMsN I believe in the book 1984 this is called newspeak. A lie formulated to present the opposite of what is the truth!!! PERFECT!	3537638662					
1596500624505724929	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	1164864823882067968				1.5962501084331459e+18	['914588454']
1596500625134845954	"RT @JanJekielek: ""There's a big spike in vaccination in April. And there's a big spike in deaths in September.""
 
Steve Kirsch argues there…"	29097819				1.595893348035752e+18	['15719232']
1596500625398939658	RT @JoeBrolly1993: One of these women wrongly claimed £9,000 in benefits. The other lobbied her friend Michael Gove to award a £200m PPE co…	1541483944281100293				1.5964963895419535e+18	['1209336942']
1596500625344589824	"District wise Daily Status of #COVID19

Dated: 26/11/2022

#राजस्थान_सतर्क_है #Rajasthan https://t.co/csvkgJS47T"	1365651315217473538					
1596500626036621315	I got Covid and almost died, but God says it was a created disease meant to be used to control the whole world and bring about the end, maybe.	1485394370					
1596500627022311424	RT @Sillyshib: It isn’t just that proper PPE suppliers were sidelined, or that a lot of the equipment was unsuitable. It was the blatant pr…	623692427				1.5964440282326876e+18	['854769693051297794']
1596500627365969923	"RT @TPostMillennial: FLASHBACK: Trudeau referred to Canadians opposed to his government's Covid-19 policies as members of ""anti-vax mobs"" w…"	1545873305051217922				1.59630243766451e+18	['896731633704947712']
1596500627336536065	"Thank you, Ates! Hoping na nagustuhan nyo yung posters and wristband 🫶🏻 

T’was fun conceptualizing with you po 💚

#AHGASESforCARATS @Ujing1122 @syz_chaerry @HorangiKrong https://t.co/ZOaEJKFpio"	1280008045670526976		1.5964764021778227e+18			['1434742380041682946', '1501606441152512001', '1477611148753391621']
1596500627336491008	"Ghost cities, another expensive train project failure, COVID lockdowns, shady investment &amp; banking regulation, &amp; on and on. The more the planners fail, the more they plan. U.S. planners' plan to harm America are exceeded by China's.
https://t.co/2N0uuXi5Za"	828261405988098050					
1596500627630137346	RT @CharlesTannock: An utter scandal which is being swept under the carpet it seems	475824831				1.5962645831231447e+18	['914281548']
1596500628569837570	RT @JonathanTurley: ...These companies were fine with Twitter censoring free speech and blocking stories like the Hunter Biden laptop scand…	1520103081396080643				1.5962733268756316e+18	['94784682']
1596500628679069698	The public are #fickle https://t.co/6QhrJV2u6Z	1562841945839632385		1.5962593752319508e+18			
1596500628813275137	"RT @srk_aadil: SRK's Donation List To Fight #Covid_19 in india.
#StopNegativityAgainstSRK 
#SRKDonatesForCovid 
#PMCaresFunds 
@SRKUniverse…"	1525801066264252416				1.245825071454638e+18	['894794112028688385', '264034657']
1596500629790199810	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	1003268815508078592				1.5964351920208773e+18	['1552407495255199745']
1596500629702205441	"RT @songpinganq: Help!

Chinese government is simultaneously building hundreds quarantine camps now. This new one is designed to detain 48,…"	1586020728469700610				1.5960601631230648e+18	['1374317368361447434']
1596500631216422912	RT @David__Osland: If trade unions were in any way responsible for the waste of hundreds of millions of pounds on defective PPE, you bet th…	207389441				1.5964444234825318e+18	['3407247983']
1596500631522508800	13. December 2020🚨 https://t.co/RbubB1Sfxz	2799733750		1.3379223445186396e+18			
1596500631778258949	@DiamondHawk11 @NatLorenti @LayahHeilpern Natural immunity was always better than the Covid non-vaccine.  If you don't believe that, you haven't been paying attention.	1586896722403282944	1.3643257244763095e+18		1.596263110612222e+18		['1364325724476309505', '221962749', '455937214']
1596500631887515649	"@SteveDeaceShow 1. An mRNA vaccine has never been successful on a virus. 
2. I was not, and am not, in a high risk group (overweight, poor health, old). 
3. I have a great immune system. I believe(d) I would kick C19, then have real immunity, which is exactly what happened. 
4. I followed the $."	100676871	177564016.0		1.5964938273340785e+18		['177564016']
1596500632051265536	RT @Sillyshib: It isn’t just that proper PPE suppliers were sidelined, or that a lot of the equipment was unsuitable. It was the blatant pr…	38859818				1.5964440282326876e+18	['854769693051297794']
1596500632395214848	@LindaHu14367111 @nerdosyndical @Ky_AnCom No Covid vax here, and my only COVID bout was a 3 day mild fever with 5 day loss of smell. That my experience.	1572735909258297345	1.3480896980870103e+18		1.5964682792747868e+18		['1348089698087010308', '43822446', '1375323842']
1596500632533602310	RT @joeolivermd: Kids are testing positive for Influenza + RSV at the same time. Probably also Covid. Now would be a superb time to get you…	498466337				1.5962860168426988e+18	['1089917743275667457']
1596500632751394816	"Correct... and how mamy were denied medical care during a ""medical"" emergency, doctors fired for prescribing ivermectin and HCQ, and still are denied access to care if they refuse to wear a mask for medical reasons??? https://t.co/d9HZ5k7nso"	1594450809080942592		1.596266034884911e+18			
1596500633338937344	"RT @NChartierET: ""We are going to end this pandemic with vaccination."" ""People who deliberately spread misinformation."" 3/3 https://t.co/3e…"	1585447872514121728				1.5962735430500598e+18	['1450821191632146445']
1596500633380540416	"RT @_marching_Ents_: AUSTRALIA, keep your kids home next year.

Use the summer holidays to do everything in your power to organise keeping…"	877331791				1.5964994147254682e+18	['850710096032092160']
