tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	quoted	replied_to
1596531740851732482	RT @NewsNancy9: “The clue🕵🏻‍♂️ was the embalmers. The clue🔎 was the insurance🏢 companies. The embalmers never saw anything until midway in…	21677872		1.5958986041531023e+18	['1447742440291504128']		
1596531740822360065	China’s farmers watch vegetables rot as Covid curbs disrupt transport https://t.co/RVtQJnaKmG via @scmpnews	19042993			['23922797']		
1596531741149331458	That was a waste of money since our govt was the spreader of misinformation https://t.co/kwQY6GZHau	1263604554110832645				1.5965044602007552e+18	
1596531741162115073	Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must kick her out of Parliament and force her to pay back every penny. Agree? Join me and sign the petition now: https://t.co/WVbVExTE5X	420371374					
1596531741682208768	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	1265545799229935618		1.5964351920208773e+18	['1552407495255199745']		
1596531742201913346	Protests erupt in Xinjiang and Beijing after deadly fire https://t.co/gi7s4iy8Ry	809215333277937667					
1596531742885613569	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	199713998		1.5961731857830707e+18	['101852818']		
1596531743233810434	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	51207002		1.5965153365722767e+18	['78523300']		
1596531743212769281	RT @MPNaveenJindal: The food grain scheme that was initiated during the pandemic ensured that people who were hit hard by the pandemic didn…	1501092141296074756		1.596480429846311e+18	['358136545']		
1596531743669952512	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	2744772988		1.5961731857830707e+18	['101852818']		
1596531743737405440	RT @DrEliDavid: Little known fact: N95 masks are effective against computer viruses as well 💪 https://t.co/9ibi0Agpk6	1166393718586277888		1.596514708475052e+18	['801203059359678464']		
1596531743926145026	RT @austinramzy: Protests erupted in Xinjiang’s capital city last night after a deadly fire and months of Covid lockdowns https://t.co/V1fV…	1314632168681897985		1.5963660757884068e+18	['45808079']		
1596531743968088064	RT @Dylan_Housman: NEW: Emails reveal Fauci and associates were deeply concerned about COVID escaping from the Wuhan lab they had funded in…	915137490		1.5963047709142262e+18	['2193399722']		
1596531744362332160	RT @StrongEconomics: Dr. Thomas Binder is a Swiss cardiologist with over 34 years of experience in treating respiratory infections. Binder…	521996289		1.5951385454587658e+18	['104224141']		
1596531744710066177	"RT @AndersonAfDMdEP: Just one example of totalitarianism: 
Redefinition of values!

""(..) I will not allow 'THOSE voices, THOSE special int…"	1585605342230204417		1.5964504342854738e+18	['900669223122472960']		
1596531745146421249	RT @RachelSmethers: LEAKED: The Conservative politicians who referred companies to the PPE 'VIP lane'. No wonder they wanted to keep this c…	41342969		1.5959224802454774e+18	['3077557533']		
1596531745196834817	@la_giuspa @DispatchChick76 @fuckyouiquit This is why Covid spread like wildfire in the US. Most bosses refused to let Covid infected employees have days off. I worked retail mid pandemic and my boss thought Covid was fake until an employee caught it.	1079186895790321664	730224080.0		['730224080', '1535121804', '787086385']		1.5965264765598147e+18
1596531745473843200	@TheLoneRangerX @DrJamesOlsson 2 jabs, no boosters. And no, I’m not denying the vaccine is causing issues, I’m just seeking the truth. Covid has been shown to also cause heart disease even in mild cases. We need to determine how much of these excess deaths are vax related and how many are covid related.	1501388154103812099	1.518711366277763e+18		['1518711366277763072', '1455311856092995585']		1.5965311749436457e+18
1596531746228543489	"RT @Theo_TJ_Jordan: Follow me here...🧵

16yr old junior in HS gets COVID before vax is a thing.

By the time vax comes out, it's clear he d…"	3060230995		1.5965124525895188e+18	['1328422666198544385']		
1596531746706628608	RT @ChrisHibbert17: All companies have to refund you if they have sold you goods which are not as described. This Govt should reclaim on al…	251825970		1.596526616238502e+18	['1049625244514828288']		
1596531746798968834	RT @PeacockFlu: Over the past few months something interesting has happened with the evolution of SARS-CoV-2 - rather than discrete clonal(…	19164430		1.5964926725538693e+18	['441328915']		
