tweet_id	text	author_id	in_reply_to_user_id	quoted	mentions	retweeted	replied_to
1596542967128408064	'Change is inevitable so let us learn together how to do conferences better for the benefit of our professions and the wider society.' @BPSOfficial @BPSWessexBranch @UKDCP https://t.co/Y55YdttoAY	175703564		1.5965353037913334e+18	['277997152', '1541700679', '115108902']		
1596542967703126018	"RT @WallStreetSilv: Another massive quarantine camp is being built in China’s Guangzhou city, which can detain 70,000 people.

The Chinese…"	1520919418422898688			['1366565625401909249']	1.5965287233352212e+18	
1596542967833333761	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	1350100763029229571			['818893114979061761']	1.596539673190359e+18	
1596542968407945217	Remember when Geraldo called for vaccine passports? https://t.co/213eP8xTxt	25120851		1.4174643480171397e+18			
1596542968491646978	@RadajJoei @licjulie You obviously don’t know how vaccines work. Those dying now are the unvaxxed and immunocompromised. People like you have long-Covid to look forward to and brain damage. Although in your case you were probably already brain damaged. Good luck with your conspiracy theories	786063455522529285	8.274738451709501e+17		['827473845170950146', '5966952']		1.5880032601405112e+18
1596542968558768131	"RT @AndersonAfDMdEP: Just one example of totalitarianism: 
Redefinition of values!

""(..) I will not allow 'THOSE voices, THOSE special int…"	1491837996877942785			['900669223122472960']	1.5964504342854738e+18	
1596542969070362624	RT @johnrackham82: People should be far less concerned about @elonmusk owning twitter and deeply troubled by a narcissistic, murderous psyc…	1518673349685219328			['1552067520575799298', '44196397']	1.5947062664371896e+18	
1596542969401819144	"RT @crushspread: Months ago @RealSexyCyborg said something like ""You want China to stop zero covid. Good luck getting your iphone"". And tha…"	1557216093722361856			['222112435', '3562121415']	1.595611591365755e+18	
1596542969666220032	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	1349135780980133888			['818893114979061761']	1.596539673190359e+18	
1596542969783676928	"RT @drewyyyyyyyyy: So what exactly did @BillGates mean?

Vaccines will help reduce the population 10-15% https://t.co/eArHFddvD4"	4602887955			['1304171766051418115', '50393960']	1.5954569140827423e+18	
1596542969623896064	RT @ActionDemocrat: Bernie Marcus, Home Depot s founder is a MAGA/Trump supporting/Union Busting Billionaire that is behind the lawsuit aga…	519022710			['1497208608362319872']	1.5961244503907e+18	
1596542970249236480	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	40366441			['3406938525']	1.5965374492489564e+18	
1596542970261536769	@JackMacCFB this is what Covid did to me	1539787800324689920	146299618.0		['146299618']		1.5965428300167127e+18
1596542970601377792	"RT @TwittaChicca: @ZubyMusic @Forbes The word, ""experts,"" has taken on an entirely new meaning since Covid: ""Experts"" shut down countries &amp;…"	1519826078197592064			['511210135', '57441414', '91478624']	1.5963462302586757e+18	
1596542971197161472	RT @_jasminwats: @sweizayne “You got Covid” they really wasn’t trying to hear her food opinions	1293976796308951043			['901090556851478528', '220414058']	1.5962816843658035e+18	
1596542971696107521	RT @pwsimerimiaw: @Girl2Poco @ColetteMandin We really don't have a personal choice about wearing masks. We're in a pandemic, it's spread fr…	68256895			['68256895', '1466855809510301700', '636649732']	1.5965429540633969e+18	
1596542971591069699	RT @awakenindiamov: All Journalists should be in the dock and made to pay for what they did to the scared and vulnerable - hence credulous…	75464445			['1481509513144717314']	1.5812630185494446e+18	
1596542972606414848	RT @TRyanGregory: What might happen next with SARS-CoV-2 variant evolution? Time for another one of those Gregorian threads...🧵	1192740926684356608			['151257881']	1.5965418734471455e+18	
1596542973109760008	RT @DelhiIocl: On 28th day of the marathon at Retail Outlet M/s Bhagwan Fuels,Nuh, @IndianOilcl team under the guidance of @Bohrashyam2, ED…	1480062173581766656			['1040454661319413760', '2597794454', '4761441377']	1.5965050994166743e+18	
1596542973428535296	RT @TRyanGregory: What we call (or don't call) a virus plays an important role in how we frame our communications and responses to it. Here…	830607041752342533			['151257881']	1.5769459598245233e+18	
1596542973873127426	RT @itnw0628: Me: Wow, looking forward to it. In fact, it was sad to see 20th anniversary concert being delayed due to pandemic. But at the…	57981511			['121669312']	1.5965184661308334e+18	
1596542974162501633	@Truth4Life1621 @PLT2022 @str8edgeracer @thehill My Doctor recommended I avoid the vaccine while pregnant and breastfeeding.	843169686502211584	1.592752167139451e+18		['1592752167139450881', '1476574498027716608', '20012454', '1917731']		1.596493396562305e+18
1596542974707793921	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	626973207			['78523300']	1.5965153365722767e+18	
1596542975617929216	RT @1goodtern: If Covid damages immune systems, you would expect to see an increase in the severity of outcomes of other infections.	939919512			['960817018193764352']	1.5964273252978074e+18	
1596542975605030912	RT @PublicPriestley: While this PPE scandal is erupting again I'll tell you a little story and it is absolutely and 100% true. Get yourself…	847499454			['2845071124']	1.5965026134950257e+18	
1596542975781109760	RT @sam94018717: Serves him right for lying to us!	23554832			['1192538285727309824']	1.59651150963055e+18	
