tweet_id	text	author_id	in_reply_to_user_id	replied_to	retweeted	mentions	quoted
1596551122327547904	"due to covid19 which broke out in my 3rd year of high school.""

""I'm close with Yoon Seonho, who was in the same class as me in school. Actually, I didn't meet him that much at that time because Seonho was actively promoting as an idol, but now we keep in touch often.+ https://t.co/IImJ8HkbhG"	1321755979713708034	1.321755979713708e+18	1.596551115067097e+18			
1596551123560960005	RT @Derricktgoat: REMEMBER, Trudeau was put back in Office with just 20.3 % support of 27.5 million registered voters, with only 62% voting…	952250518864367616			1.5965377748779336e+18	['1195329078758391808']	
1596551123455852546	Aweaking in China too?? https://t.co/i9E26VYrgQ	807619402292002816					1.5962472807129825e+18
1596551123497877506	RT @RisetteMD: Just remembering one of the saddest moments in my life was when, at the end of a three week stretch working during the Delta…	212933459			1.5958477944677827e+18	['1549164560204038144']	
1596551123758120960	"RT @MShipworth: Why do you oppose free speech for women?
Especially women explaining their fears of Males in Female-only spaces?

Why do yo…"	1273708254300966914			1.5964377195923538e+18	['1150689763']	
1596551123942318080	RT @altNOAA: People still seem to think that a vaccine creates a magic force field around the body that prevents a virus from entering. Jes…	16477239			1.5962080255595315e+18	['824126001936474113']	
1596551124173062146	@RepPressley We are DV winners #dv2021 #DV2020 who have not been invited for an interview and were canceled due to #Covid_19, and our dreams and future plans were ruined.  Invite us for an interview and help diversity visa winners get all their visas.	1218992180339056640	1.0805842295101727e+18	1.5965191530153042e+18		['1080584229510172678']	
1596551124613758976	RT @david_r_morgan: If you watch any video today, make it this one. Andrew Tate absolutely nails the Covid scam in 90 seconds. 👇 https://t.…	2699226190			1.5959077993047654e+18	['1108431749820882947']	
1596551125666123781	@RealJamesWoods Got the jab which, like others have noted here, got severe tinnitus shortly after. I still caught COVID three times since the jab. Once in the winter 2021 and twice in 2022. My parents decided against the jab, are in their 70s, caught it only once. Mild symptoms for all of us.	1395425095	78523300.0	1.5965221787022991e+18		['78523300']	
1596551125813153792	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	1468567781390041088			1.5962501084331459e+18	['914588454']	
1596551125880143873	@2351onthelist I've been on Migraleve since the 70s. Need to have my meds revived. The miraines were getting better, but isnce Covid they're much worse. 😢	821490947372580864	27610463.0	1.5965481214669087e+18		['27610463']	
1596551126085926912	@RepJeffries My goodness you can't be this stupid!! He created NOTHING!! The jobs were from those coming back after COVID lockdowns! Research that!!	1585943508342345728	467823431.0	1.5965164770706104e+18		['467823431']	
1596551127402938368	RT @manyapan: Amazing photos coming from the Communication University of China, Nanjing, where students are protesting, making their voices…	856543360630243328			1.5965201593925304e+18	['31029819']	
1596551127365222400	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	2871140722			1.5965374492489564e+18	['3406938525']	
1596551128023695361	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	1401574699931299840			1.5964838459933778e+18	['95092020']	
1596551128011137024	@_TayBae__ @RikiBeliefs @JeLaminah So administering millions of vaccines a day, and they have time to sort them and specifically save the poison for us... Got it	1215775150676873216	623054596.0	1.596520720108249e+18		['623054596', '1570887676508659715', '45779935']	
1596551128782897152	@hypocrisy_sucks But you think a vaccine should be equally as effective on the 15th major variant as is was on the original. No vaccine has ever done that. Hence, the chief reason for boosters for such viruses as influenza and COVID.	760552312519663618	748030722.0	1.5965495738576486e+18		['748030722']	
1596551129160089603	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	2162782861			1.5964351920208773e+18	['1552407495255199745']	
1596551129042911233	"@IdlemanShane The COVID vaccines aren't experimental because 100,000s of people like me joined trials to test them first, and you can get a non-mRNA COVID vaccine if you want.
https://t.co/xldFOETpeS"	242226743	1.0893502967472251e+18	1.5962594975758664e+18		['1089350296747225089']	
1596551129256833028	RT @songpinganq: BREAKING: People in Beijing taking to the streets and chanting: ''Say no to COVID test, yes to freedom!...'' https://t.co/…	1519395872764616704			1.5964290397487432e+18	['1374317368361447434']	
1596551129470337029	"RT @thakkar_sameet: I work 24×7; 365 days among the people not like some who only works from home.

CM @mieknathshinde at his aggressive be…"	1498307835746459655			1.5965443627367793e+18	['2436879248', '2611325450']	
1596551129784938497	#SpanishFlu: The original #Depopulation blueprint of #Covid19 #Plandemic and its #DeathShots strategy. The brainwashing of people started before that and it is continuing till now says Visionary @IMPraveenDalal. @_ETax @_GroundReality @FreedomMyths @PTLBSchool @_CEPHRC @_AFPOH https://t.co/Hev0b2kaQq	888808440583172096				['1023768630230577152', '883776703595663362', '788351146700120068', '896628075391139840', '1315204098845741056', '894496485697495041', '1011567779462328321']	
1596551130934280194	RT @brexit_sham: Accounts linked to Tory Baroness and husband Douglas Barrowman, frozen during an HSBC investigation into PPE Medpro, were…	847923492662235137			1.5964907145814344e+18	['826382447885574144']	
1596551131098157056	"RT @LeAnhMMO1: A good laugh and a long sleep are the best cures in the doctor’s book 💤
Click the link on our profile to get started  https:…"	1576457961492414466			1.576518857090429e+18	['1575494252876136448']	
1596551131152670721	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	1250240339975254017			1.596239466779226e+18	['19638752']	
1596551131324375042	@backtolife_2023 Yeah think I’ll sit this one out too just see what happens ….. guessing much the same as with the covid one	1309843291253465088	1.1095328763103027e+18	1.5962539207241236e+18		['1109532876310302721']	
1596551132532584448	RT @reece_dinsdale: Imagine there being a worldwide pandemic and imagine your only goal being to make money out of it at other people’s exp…	1253275399561379840			1.5965471734029517e+18	['834818979688546308']	
1596551132616478720	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	1575882446435864576			1.5965374492489564e+18	['3406938525']	
1596551132679008257	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1469320068718899202			1.5965153365722767e+18	['78523300']	
1596551134269042688	"RT @Nouh2026: A video of an audio statement in Arabic titled:
Let Whoever Hates Me Dig Their Own Grave ..
19— Rabi’ Thani — 1444 AH
13— Nov…"	1514339324015296518			1.5965510455340728e+18	['1428047068388642826']	
1596551134382006274	@ZacBissonnette As someone who survived severe depression in my early 20s, I can promise you that for a lot of people with depression and anxiety, being forced to wear a mask, along with the enormous societal disruptions of lockdowns, would 100% wreck their lives.	1242079308346204160	99393348.0	1.5965245935647785e+18		['99393348']	
1596551135464079360	"RT @reece_dinsdale: SNOUTS IN THE TROUGH!!!
Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must…"	25671065			1.5964331728829317e+18	['834818979688546308']	
1596551135535730689	"RT @Starboy2079: Those who don't know background of this news 👇

Kejriwal govt gives salary of Rs 18,000 pm to Maulvi of Delhi n Rs 16,000…"	1250909738			1.596533587343704e+18	['1515651214200823814']	
1596551135615242240	RT @Kelly078452735: I’m asking for all prayers for my beautiful cousin Sabrina she has been in the hospital for 2 weeks with pneumonia on o…	30449971			1.5959153637491057e+18	['1485439042602684422']	
1596551135803965441	"@LayahHeilpern When the ""cure""/""vaccine"" came from China"	940379190867529728	455937214.0	1.5961360820680827e+18		['455937214']	
1596551135984238594	RT @NEWSMAX: Rare protests broke out in China's far western Xinjiang region, with crowds shouting at hazmat-suited guards after a deadly fi…	796386783642537985			1.596542317749764e+18	['20545835']	
1596551137033060352	RT @TheRickyDavila: What I find fascinating about Hunter Biden is that slumlord Jared Kushner was paid $2B for selling them intel whilst al…	777847866438017024			1.596239080152408e+18	['341190477']	
1596551137791905794	"RT @LouisHenwood: Michael Gove is neck deep in this scandal, I hope this is the end of his inglorious career

I bet this Michelle Mone PPE…"	1755578017			1.5962914170765353e+18	['1010583751460622337']	
1596551138140393473	RT @BuzzPatterson: So, China is locking down again from COVID. How much longer do we have to put up with their bs and when, finally, is the…	1586241597418659840			1.5963498698781778e+18	['15986949']	
1596551138156822528	"@sqarbaghi @seGhumman Come on! Just factor in COVID and the Recovery Pakistan made....we managed to get a steady growth rate.

Nevertheless, any regime change before time has been damaging to Pakistan. I believe governments ought to complete their tenures. Last time it was NS, now it's IK."	2801412092	1422939972.0	1.5965501731065037e+18		['1422939972', '241768397']	
1596551138303946754	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	720526381143207936			1.5965374492489564e+18	['3406938525']	
1596551139440623617	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	1519638545677357056			1.5965374492489564e+18	['3406938525']	
1596551139209936896	@jakeshieldsajj Jake, this film is disinformation by controlled opposition with the result of muddying the waters and discrediting people who are skeptical of the vaccines.	1513151094511312896	80233893.0	1.5963714888057897e+18		['80233893']	
1596551139993886720	RT @EricTopol: The BQ.1.1 variant is resistant to all available monoclonal antibodies, including Evusheld and Bebtelovimab, leaving immunoc…	1283417127928692737			1.5965498255325266e+18	['86626845']	
1596551140543324160	Pizza! Pizza! Only 5 Dollars! Wear a mask!	907028917415845889					
1596551140694441986	@laurenboebert wait, the group that demonized gay and trans people thinks we shouldn’t point to the GQP?  You’ve demonized trans, gays, vaccines, democrats, Ukraine… should I go on. I can dumb dumb.	1156076541106937856	1.201670995435647e+18			['1201670995435646976']	
1596551140170235905	"@BBCNewsnight @vicderbyshire They're *great with money, it's just that they're *great at stealing it .

If a Labour government had channelled a £200m PPE contract to a Labour peer, it would dominate every front page for weeks on end. https://t.co/zdnmgUMVgA"	1199706211211468800	20543416.0	1.5935847891178004e+18		['20543416', '19964034']	
1596551141294473217	RT @PublicPriestley: While this PPE scandal is erupting again I'll tell you a little story and it is absolutely and 100% true. Get yourself…	3378559870			1.5965026134950257e+18	['2845071124']	
1596551140711112704	"Purell ES1 Hand Sanitizer Dispenser Starter Kit, Push-Style Dispenser with PURELL Advanced Hand Sanitizer Gel, 450 mL Refill G1F1YRD

https://t.co/X4nc0V30An https://t.co/wGbziKh9Pl"	1577977480811630593					
1596551142456299520	"@GameTimeAsia @Saberspark ?
A guys dad went missing on a strange planet and everyone assumes he’s dead but he’s found alive, and they all have to work together to survive (and return home?)
I really don’t want to know how a movie ends from  the trailer, it’s enough info for me."	61673191	8.964206175279882e+17	1.596252181119877e+18		['896420617527988225', '546917764']	
1596551142837989376	"RT @reece_dinsdale: SNOUTS IN THE TROUGH!!!
Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must…"	290668366			1.5964331728829317e+18	['834818979688546308']	
1596551143278415872	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	42844307			1.596239466779226e+18	['19638752']	
1596551143605223424	RT @KindAndUnblind: “I will tell you, we’re used to people saying, ‘Oh [Covid] isn’t that bad [now]’, but this was a rough one,” Goldberg s…	18293186			1.5947368871298499e+18	['373502415']	
1596551143605534720	RT @1goodtern: If your Long Covid is damage caused by the virus, that may be in the parts of your body that SARS-CoV-2 found it easiest to…	495282723			1.5960926374209454e+18	['960817018193764352']	
1596551143752175619	Michelle Mone PPE firm revelations prompt anger in Commons https://t.co/6GXzQexwpK	1205824228483878912					
1596551144242905089	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	774027710888828929			1.596231410502738e+18	['1577761560394665984']	
1596551144393809925	RT @Xx17965797N: Official UK document from the Ministry of Health reveals Convid never existed. This now being the case means the masks, lo…	893941090579042304			1.5964351920208773e+18	['1552407495255199745']	
1596551145098338304	@DoglovinPatriot @NRGCrypto888 @KimDotcom The hospitals were/are getting BIG bucks if they wrote COVID as cause of Death. Are you denying that people were dropping like flies in the early days and there were so many bodies they were loaded onto trucks in some areas and taken to funeral homes? The shot is 4 #depopulation	1585797845453611009	399057818.0	1.5965246386111775e+18		['399057818', '1173467739505094657', '611986351']	
1596551145861926913	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	2715949850			1.5962571726395802e+18	['21947445']	
1596551146176397312	"Illinois 🏴 COVID-19 current stats for Sat Nov 26 2022

Cases: 3,860,866
Deaths: 40,247
Recovered: 0
Active: 62,902
Tests: 57,898,053
Doses: 25,950,462

#covid_illinois
https://t.co/Szto0uiIh9 https://t.co/4bZSwSc2Qk"	1308348141507407879					
1596551147753705472	RT @SeanFitzMath: @AndrewIwaniuk So far, nobody is willing to recognize that in one way or another, COVID has been a mass-disabling event f…	588017994			1.596541199162413e+18	['1238913784208490496', '896915184433807361']	
