tweet_id	text	author_id	in_reply_to_user_id	quoted	replied_to	mentions	retweeted
1596326630019956739	NYCAAC - TO DIE 11/29 - pneumonia - found wandering alone - sweet - shy - ADOPT - FOSTER - PLEDGE - RETWEET https://t.co/6XkfbBcWtw	844175836941029377		1.5962314250111263e+18			
1596326630452076544	"@Virtuoso191 @StephenEspinoza Just scroll up. He brought up 2015. That was Mell not mall. 

I ask about 2020, he says he made an offer (during the pandemic) I ask for how much-radio silence."	1428873097009041408	1.5950295278639555e+18		1.5963264340705649e+18	['1595029527863955457', '77801395']	
1596326632067039238	RT @official_ken: Bill Gates  has changed definition of immunity . Now it’s only immunity is getting a vaccine. Also PCR tests are intentio…	1071481747362209793				['1162433334200475648']	1.5952438920137646e+18
1596326633195319298	"RT @MartyMakary: ""Supplementation of vitamin D3 was related to a 33% decreased incidence of COVID-19 infection resulting in 30-day death.""…"	1343324279514034177				['77486927']	1.595551617939538e+18
1596326634130673666	RT @lants: I did surgery/chemo/radio alone through the long stage 4 lockdowns in Victoria. No one looked after me. Weeks on end I didn't se…	2177824495				['15094290']	1.5960742540044698e+18
1596326635514777600	"RT @Wynjym: 🆘❌@ASPCA WHERE ARE THE #MEDS FOR⚠️10 DOGS⚠️WITH

 #PNEUMONIA IN BREAKOUT @NYCACC❌🆘

@POTUS @SenGillibrand @SenatorBiaggi @NYSen…"	845788256734101505				['138839349', '14955908', '153802121', '1349149096909668363', '72198806', '1082694056839397376']	1.5962365081761874e+18
1596326636185882624	RT @dinosaurquill: A good gift to preorder for the holidays	1225942438105276416				['3876264672']	1.5962798064797082e+18
1596326638249472000	@bobepidemiology @Natasha57932694 @ranjitrao1 @DrSimonRowe @taipan168 @breakfast_dogs @fee_bee_63 @aussieavidread @AB1327 @a_bianca_a Why was China so frustrated / irritated by Sweden’s approach? Why don’t protest so much? https://t.co/bHGHhBCf8N	1146735031	1146735031.0	1.5962931831302062e+18	1.5960428372078387e+18	['935038960413196288', '1192608117164408832', '450283093', '889797489733156870', '25270067', '1114349682702946304', '365105604', '813851972243636224', '333737768', '1397846660231819265']	
1596326638672814081	"RT @BernieSpofforth: CHINA - Government has changed all protestors Covid QR codes to RED. Effectively locking them down.

Now you know what…"	1254995450635026433				['755135678422327296']	1.5954807719845233e+18
1596326638811516928	RT @no_masks_at_all: 47 studies confirm ineffectiveness of masks for COVID and 32 more confirm their negative health effects - LifeSite htt…	220525805				['1376235160249769988']	1.5953072170031923e+18
1596326640342421504	CDC rains on Fauci farewell, as COVID becomes pandemic of the vaccinated https://t.co/oQLO4jTpgg via @JustTheNews	1491712311207215106				['1216793092134723586']	
1596326640992362496	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	946901882				['611986351']	1.5961710505467617e+18
1596326640979972096	"RT @as1z_: 2 years ago I was in the darkest place I’d ever been in &amp; was blackmailed out of the closet during the pandemic.

My life did a…"	2704415979				['1316900366223552512']	1.5963023695784878e+18
1596326641332289539	RT @HenryLindeman9: Changing the definition of immunity, to vaccinated.	389591418				['1278701064397549570']	1.5962572416778486e+18
1596326641847918592	RT @lissaevans: Seeing the people working at the TB sanatorium not wearing PPE makes me cringe. #DestinationFear	16804055				['2911451486']	1.596325502830416e+18
