tweet_id	text	author_id	in_reply_to_user_id	quoted	mentions	replied_to	retweeted
1596346985140756480	"It was an honor to have you with us at the launch of the 'Gender Unit' here @PlanComPakistan. 
We need more inspiring women like @amnaappi in Pakistan if we were to succeed as a society. 
#StopGBVPK https://t.co/sVSv0sXZ2b"	1596147336924758019		1.5961922534245868e+18	['1709469240', '53403222']		
1596346985044480001	"@srheth @ABDanielleSmith I applaud your actions  
Children belong in classrooms, their education suffered during online classes.  Masks do SFA, says so right on the box  

Scottie, please wear a mask. https://t.co/DtApgv4I8f"	1569051079299448835	399526010.0		['399526010', '41514883']	1.5959851714044355e+18	
1596346985703174144	@DawiredChris @POTUS i've never contracted covid because i dont' wear a mask, dont' excessively wash my hands, no social distancing, no gene therapy or boosters	951686796315787265	23606432.0		['23606432', '1349149096909668363']	1.596188520846082e+18	
1596346985904103425	"RT @JunkScience: ""Measures like masking and social distancing may be doing long-term damage to our immune systems.""

Now that Twitter is on…"	229675967			['21150492']		1.596172702100099e+18
1596346985941897216	RT @haechanprints: haechan in quarantine when they had a meeting for the tds2.. https://t.co/hWphhBRZPo	1417851649574400000			['1385532826762706947']		1.5961301468758917e+18
1596346987028353029	RT @EvanLSolomon: Why is the convoy lawyer reading convoy supporter texts to the PM? No one denies there was support, but the question is,…	1460007078077120518			['180887271']		1.5962259385214566e+18
1596346987086958592	RT @theviibes: maybe the purpose of life is to fill it with as many positive things as you can. regardless of how bad life gets, don’t let…	1275976734194745344			['1306364122041286656']		1.596334747164328e+18
1596346988190003200	RT @DailyCaller: Tucker never holds back https://t.co/a66xhfuKgo	1052737939573235712			['39308549']		1.596342985461207e+18
1596346987858653184	@real_sag_astar @WADOHIssues Whose talking about horse paste? We’re talking about prescription meds. Lol. Vaccines aren’t working. Again. Read what’s circled. I know deep down you’re just repeating it trying to convince yourself because you know you made the wrong choice. I’m sorry https://t.co/9Xcw92ONDT	1087297968217223168	1.5702213470911324e+18		['1570221347091132416', '1448494034637393927']	1.5963454573491036e+18	
1596346989641617409	"RT @WhiteHouse: We all have to do our part to ensure a safe, healthy, and happy holiday season.

Get the updated COVID vaccine: https://t.c…"	1442300204758147073			['1323730225067339784']		1.596232279562625e+18
1596346990555992064	RT @bazz_87: @SuellaBraverman @metpoliceuk Ah brilliant Sue-Ellen, I hate fraud too. Can you add the PPE VIP lane PLUS @didoharding and the…	15569336			['337367751', '1722829178', '66967746', '102476441']		1.5962203654283592e+18
1596346990706667522	RT @CTVNews: Justin Trudeau says he feels personally responsible for people who've bought into vaccine misinformation. https://t.co/xCg496d…	1351641723118755840			['203123011']		1.5962480037650596e+18
1596346991335776257	RT @EricMMatheny: You were told if you got these vaccines you weren’t going to get covid. That the virus stops with the vaccinated. If you…	1034505590394048512			['2730264319']		1.5961510243180257e+18
1596346990723567621	@YodelOnline I’m not sure if it’s a hoax or not but I’ve come home from work to two blank cards now. Any advice? https://t.co/xuLDw1hHhY	83445018	532135503.0		['532135503']		
1596346992246288386	"RT @PierreKory: Poor woman dies 7 minutes after her booster… while still in the drugstore.  

Article states that the Coroner concluded tha…"	480940725			['2163723997']		1.5962960706858967e+18
1596346992602529794	RT @Chesschick01: When was the exact moment you realized COVID was being used to manipulate the population?	1104569721083424768			['36134346']		1.596216988145025e+18
1596346993378725889	No thanks to allergies, I have cold symptoms nearly every day. There aren’t enough tests in the country to use one every time you have those symptoms. But for most people? Yes! https://t.co/M7mx7Oa7Hs	1349669078		1.595505212814463e+18			
1596346995010342914	"How to drop 70 IQ points instantly:
Remove your mask in a crowded indoor space.
Bonus: the drop can be permanent if you catch Covid."	440883812					
1596346995068862464	@juan_damarco @DHenderson_xo @80Five_ @SaycheeseDGTL And he also said he never got it because Covid started, Covid was in 2020, we are going into 2023, so please spare me the bullshit. I simply answered your question now you’re getting spicy. Like I didn’t listen to the same thing you listened to	1849612543	1374946165.0		['1374946165', '1521849988669661186', '1455645471280615425', '1149024099995475968']	1.5963464083278684e+18	
1596346995316518912	"@HuaweiCloud1 ✌️Hi Liza Laxamana Mangubat
I Support the Covid19, Planet, Earth, Moon, Global, Sky Social distancing face mask I want to work together Engineering and Architecture Innovation, Medicare, Food, Forest, Farmers, Education Sciences Technology Climate Change Summit Blueprints Global"	1537951882240737280	2222737327.0		['2222737327']	1.5931930815115018e+18	
1596346996709031937	"RT @rising_serpent: @hodgetwins It wasn't just money grab.
It was a money laundering wealth transfer analogous to what FTX did.
The governm…"	1589808290417999872			['879548970082721792', '18584875']		1.5955633834113147e+18
1596346996797112320	"RT @DanielFooksArt: George Clooney is not a nice guy

He works for the other side"	59704231			['969565632017653760']		1.5962669881833882e+18
1596346996914532354	"@ChristinaPushaw @dgoldwas Not the first time

https://t.co/BwffqPXWIt"	1168374160252444672	31667539.0		['31667539', '215506637']	1.5963397949001318e+18	
1596346997056880640	@warriorboutit @SethDillon The Polio vaccine was tested for YEARS till it was proven safe.. WE were tge test subjects for this one	1519312909461069826	3161443824.0		['3161443824', '31700619']	1.5959553449617285e+18	
