tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	replied_to	quoted
1596354710176694279	This woman @KweenChai said I gave her coochi covid 🤣💀 https://t.co/szrDOFqIU7	73056266		['2924911201']			
1596354711019716609	"RT @Funkytown_01: @Serenityin24 America was doing great under Trump. Booming economically... making a come back after Covid... 

Musk voted…"	2794432004		['1506887575587463169', '1499860649232551942']	1.5963518435204997e+18		
1596354711716003841	RT @InternetHippo: I think the pandemic was the first time many people were forced to adjust their behavior out of consideration for others…	54261785		['19638752']	1.596239466779226e+18		
1596354712118644737	@dearprude20 Calling me for bank hours and locations during COVID 😩	392472061	319827010.0	['319827010']		1.5963519795547587e+18	
1596354712336420864	RT @LisaS33992989: @CBTHunting @PeterEgan6 @SirRogerGale @HsaChair @EdGoncalvesCBTH @UnitingAfricans @HenrySmithUK @ConservativeAWF @DefraG…	956494460166184966		['1454954742438719488', '84432492', '452100948', '1064912412736917504', '1582767414122536960', '1559109152525455362', '1587673507915333632', '873819098', '4825452796']	1.5963533818657505e+18		
1596354712311590913	RT @chenchenzh: fire has been many Chinese people's worst fear since the spring of 2020, that is, since many people's homes are forced into…	415407700		['14919542']	1.5962207232738304e+18		
1596354712772972544	"RT @WallStreetSilv: BREAKING: China's Guangzhou city is building not only one, but dozens of quarantine camps now. 

The first one in the T…"	1457613125549793283		['1366565625401909249']	1.5960359592497725e+18		
1596354715037880320	RT @lants: I did surgery/chemo/radio alone through the long stage 4 lockdowns in Victoria. No one looked after me. Weeks on end I didn't se…	1411982810		['15094290']	1.5960742540044698e+18		
1596354715112984576	"RT @BrandonStraka: #1, I’m 💀that they put this logo right on top of her vagina or her penis or her forbidden genital or whatever.

#2, from…"	1594154263118110722		['52338305']	1.5963540415917097e+18		
1596354715868336129	RT @pbhushan1: Huxley foresaw the Covid type dystopia 90 years ago! https://t.co/9SzEdYtGM5	1340703127700262918		['2284802828']	1.596067464797823e+18		
