a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.12027582388694369,2069.653406631637,2270.653406631637,201,1000,5,0.5,1000,Beta-binomial
0.3739024048837923,605.067515275127,943.067515275127,338,1000,10,0.5,1000,Beta-binomial
0.5966536996914703,461.092465016547,829.0924650165471,368,1000,15,0.5,1000,Beta-binomial
0.39555135866851926,637.8151965361826,1030.8151965361826,393,1000,20,0.5,1000,Beta-binomial
0.8721589584701468,375.98551220375,815.98551220375,440,1000,25,0.5,1000,Beta-binomial
0.8943877411082723,327.84247560820216,788.8424756082022,461,1000,30,0.5,1000,Beta-binomial
0.47289557268079574,453.1340709529637,937.1340709529637,484,1000,35,0.5,1000,Beta-binomial
0.8089069242019172,334.6371759832375,833.6371759832375,499,1000,40,0.5,1000,Beta-binomial
0.4070571185298808,486.6632060773507,1001.6632060773507,515,1000,45,0.5,1000,Beta-binomial
0.44944326110195376,430.2916026872344,965.2916026872344,535,1000,50,0.5,1000,Beta-binomial
3.9976827624249103e31,631.184868502868,721.184868502868,90,100,5,0.5,1000,Beta-binomial
0.5234125731073239,706.7285395291786,874.7285395291786,168,100,10,0.5,1000,Beta-binomial
1.7834011672892198,332.0598969488071,545.0598969488071,213,100,15,0.5,1000,Beta-binomial
0.1865142341441569,697.120146979337,1048.120146979337,351,100,20,0.5,1000,Beta-binomial
0.2665371592793121,485.9603993491119,886.9603993491119,401,100,25,0.5,1000,Beta-binomial
0.45499717041788734,373.89136481908275,811.8913648190828,438,100,30,0.5,1000,Beta-binomial
0.1587250859492679,452.9141691607097,905.9141691607097,453,100,35,0.5,1000,Beta-binomial
0.16292803203639267,423.9664024376281,906.9664024376282,483,100,40,0.5,1000,Beta-binomial
0.36448203043518634,377.6915144923997,894.6915144923996,517,100,45,0.5,1000,Beta-binomial
0.35911265723395924,377.25792028081196,898.257920280812,521,100,50,0.5,1000,Beta-binomial
0.1606314851556833,3052.5245182133867,3194.5245182133867,142,101,5,0.5,1000,Beta-binomial
0.18905465557130124,1945.0683537013097,2170.0683537013097,225,101,10,0.5,1000,Beta-binomial
0.3898930405839542,951.4568892676315,1229.4568892676316,278,101,15,0.5,1000,Beta-binomial
0.00429221903176299,16.114633538764785,394.1146335387648,378,101,20,0.5,1000,Beta-binomial
