a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
5.400676718465388e9,426.34398729955115,568.3439872995511,142,1000,5,2.0,1000,Beta-binomial
1.62708000642679,823.2273214657911,1158.2273214657912,335,1000,10,2.0,1000,Beta-binomial
2.503777760074073,573.0185746482974,990.0185746482974,417,1000,15,2.0,1000,Beta-binomial
1.9899752386517215,488.5635630499795,1042.5635630499796,554,1000,20,2.0,1000,Beta-binomial
1.769096648738229,459.1521351480359,1056.152135148036,597,1000,25,2.0,1000,Beta-binomial
1.6231931054470814,465.1896793786736,1105.1896793786736,640,1000,30,2.0,1000,Beta-binomial
1.524928556547266,478.2272968492042,1136.2272968492043,658,1000,35,2.0,1000,Beta-binomial
1.6076014933987905,420.51710473091265,1097.5171047309127,677,1000,40,2.0,1000,Beta-binomial
1.6098781781563625,404.51815986733243,1093.5181598673325,689,1000,45,2.0,1000,Beta-binomial
1.7481810988668223,357.0534773631563,1068.0534773631562,711,1000,50,2.0,1000,Beta-binomial
9.5408033479122e38,511.0645839394709,698.0645839394708,187,100,5,2.0,1000,Beta-binomial
9.217057226161301e19,382.33012249831813,677.3301224983181,295,100,10,2.0,1000,Beta-binomial
5.822776969382311,413.04228621419577,787.0422862141958,374,100,15,2.0,1000,Beta-binomial
2.5431908720598813,480.1217124382451,946.1217124382451,466,100,20,2.0,1000,Beta-binomial
1.9064421451595666,486.6305157421847,1003.6305157421847,517,100,25,2.0,1000,Beta-binomial
2.532289319725711,386.5654255297815,946.5654255297816,560,100,30,2.0,1000,Beta-binomial
1.5922058390320457,438.1710490328976,1061.1710490328976,623,100,35,2.0,1000,Beta-binomial
1.7343279115746975,379.7185109305769,1037.718510930577,658,100,40,2.0,1000,Beta-binomial
1.6126925505550003,387.10494016190404,1066.104940161904,679,100,45,2.0,1000,Beta-binomial
1.5030181619837224,384.6598524379049,1096.6598524379049,712,100,50,2.0,1000,Beta-binomial
0.10929690560093028,3733.28795987534,3846.28795987534,113,101,5,2.0,1000,Beta-binomial
0.1203546873432825,3912.8643284108543,4142.864328410855,230,101,10,2.0,1000,Beta-binomial
0.9219082295457983,778.5550081997839,1072.555008199784,294,101,15,2.0,1000,Beta-binomial
0.9707652098321511,714.3042678843932,1090.304267884393,376,101,20,2.0,1000,Beta-binomial
1.002354113457644,633.3406849957997,1074.3406849957996,441,101,25,2.0,1000,Beta-binomial
1.150484402608092,506.8120031507706,1001.8120031507706,495,101,30,2.0,1000,Beta-binomial
1.352822370363654,421.5025419938404,988.5025419938404,567,101,35,2.0,1000,Beta-binomial
1.3800994706824534,415.91951615316185,1023.9195161531618,608,101,40,2.0,1000,Beta-binomial
1.6236604390069376,354.53551099032177,997.5355109903218,643,101,45,2.0,1000,Beta-binomial
1.375828701700432,377.6684421927462,1071.6684421927462,694,101,50,2.0,1000,Beta-binomial
0.15771346085735363,4798.038609132339,4908.038609132339,110,102,5,2.0,1000,Beta-binomial
0.14116599742403577,5062.807388288979,5257.807388288979,195,102,10,2.0,1000,Beta-binomial
0.8907984787449267,1235.7634383419006,1471.7634383419006,236,102,15,2.0,1000,Beta-binomial
1.062344773214892e11,323.6057519024789,650.6057519024789,327,102,20,2.0,1000,Beta-binomial
2.977147889018562,452.7905693038712,847.7905693038713,395,102,25,2.0,1000,Beta-binomial
4.377455365596251,314.78516112640267,824.7851611264027,510,102,30,2.0,1000,Beta-binomial
3.3404608709712087,340.51103297752127,877.5110329775213,537,102,35,2.0,1000,Beta-binomial
3.0258543455385545,330.5926453848696,890.5926453848697,560,102,40,2.0,1000,Beta-binomial
2.7093022906308772,327.5558409119743,911.5558409119743,584,102,45,2.0,1000,Beta-binomial
2.610545435418974,315.3801081993767,934.3801081993768,619,102,50,2.0,1000,Beta-binomial
1.2890283653010258e8,754.1867000165215,916.1867000165215,162,103,5,2.0,1000,Beta-binomial
0.3387757682882996,2436.277304198389,2801.277304198389,365,103,10,2.0,1000,Beta-binomial
3.310317948971043,476.20610416851974,940.2061041685197,464,103,15,2.0,1000,Beta-binomial
2.0310290546130423,467.169690059419,1022.169690059419,555,103,20,2.0,1000,Beta-binomial
2.1742864823588444,394.6608508247752,977.6608508247753,583,103,25,2.0,1000,Beta-binomial
2.3333079759317514,369.71107900477165,997.7110790047716,628,103,30,2.0,1000,Beta-binomial
2.1419653681041604,373.1591192309553,1025.1591192309552,652,103,35,2.0,1000,Beta-binomial
1.7254052174261596,391.3294528172576,1067.3294528172576,676,103,40,2.0,1000,Beta-binomial
1.5941056114797874,380.4667234130742,1083.4667234130743,703,103,45,2.0,1000,Beta-binomial
1.7127774289153213,332.6504602910624,1057.6504602910625,725,103,50,2.0,1000,Beta-binomial
2.2105019389336042e9,512.2412568949834,748.2412568949834,236,104,5,2.0,1000,Beta-binomial
