a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
8.472038220314089e11,600.234956794108,712.234956794108,112,1000,5,2.0,1000,Beta-binomial
9.322435967588793e8,401.8809041274908,655.8809041274908,254,1000,10,2.0,1000,Beta-binomial
0.8791423610676891,1042.69773485759,1388.69773485759,346,1000,15,2.0,1000,Beta-binomial
1.1401012770160213,816.1424184630871,1239.142418463087,423,1000,20,2.0,1000,Beta-binomial
1.6782247968664723,547.2817271039592,1037.2817271039592,490,1000,25,2.0,1000,Beta-binomial
2.3233167408787625,367.52010146063174,938.5201014606317,571,1000,30,2.0,1000,Beta-binomial
2.2472853511152806,344.14800473597296,948.148004735973,604,1000,35,2.0,1000,Beta-binomial
2.2939850567309596,334.8310117426954,957.8310117426954,623,1000,40,2.0,1000,Beta-binomial
2.508408733208813,309.7101580286382,962.7101580286383,653,1000,45,2.0,1000,Beta-binomial
2.584766434943153,243.36678043238214,942.3667804323821,699,1000,50,2.0,1000,Beta-binomial
0.05395017975840637,20276.713106446387,20479.713106446387,203,100,5,2.0,1000,Beta-binomial
2.722341434061534,655.9620719615057,964.9620719615057,309,100,10,2.0,1000,Beta-binomial
1.9231504951596992,673.9177992842724,1044.9177992842724,371,100,15,2.0,1000,Beta-binomial
0.5619167510832277,1222.092086745011,1706.092086745011,484,100,20,2.0,1000,Beta-binomial
1.1007045792698888,583.5565345972431,1121.5565345972432,538,100,25,2.0,1000,Beta-binomial
1.162872688975836,556.7669628587627,1125.7669628587628,569,100,30,2.0,1000,Beta-binomial
1.3362882215850713,449.8656379848662,1067.8656379848662,618,100,35,2.0,1000,Beta-binomial
1.7048677832286205,439.6877418875008,1085.6877418875008,646,100,40,2.0,1000,Beta-binomial
1.7392817789666033,391.4310174261542,1059.431017426154,668,100,45,2.0,1000,Beta-binomial
1.6210670727058913,415.9427505351683,1101.9427505351682,686,100,50,2.0,1000,Beta-binomial
2.2868320071460837e8,930.4923743448292,981.4923743448292,51,101,5,2.0,1000,Beta-binomial
0.06503753150234175,6234.2724700965055,6503.2724700965055,269,101,10,2.0,1000,Beta-binomial
