w_hat,a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.21819268252140872,2.811910996875102e6,192.60134014497586,346.6013401449759,154,1000,5,0.5,600,MPLE-NB
1.0e-6,1.0,658.7769702468378,812.7769702468378,154,1000,5,0.5,600,MPLE-G
-999.0,-999.0,320.3333333333333,474.3333333333333,154,1000,5,0.5,600,Chao
-999.0,-999.0,647.4828986145316,801.4828986145316,154,1000,5,0.5,600,Turing Geometric
-999.0,-999.0,168.58333333333331,322.5833333333333,154,1000,5,0.5,600,Schnabel
-999.0,-999.0,325.78871293473475,479.78871293473475,154,1000,5,0.5,600,Zelterman
-999.0,-999.0,302.4908871671556,456.4908871671556,154,1000,5,0.5,600,Chao Lee Jeng 1
-999.0,-999.0,467.8757019111515,621.8757019111515,154,1000,5,0.5,600,Chao Lee Jeng 0
-999.0,-999.0,219.5,373.5,154,1000,5,0.5,600,Jackknife k = 4
-999.0,-999.0,201.20000000000005,355.20000000000005,154,1000,5,0.5,600,Jackknife k = 3
-999.0,-999.0,219.5,373.5,154,1000,5,0.5,600,Jackknife k = 5
-999.0,-999.0,992.3047758155913,1146.3047758155913,154,1000,5,0.5,600,Conway-Maxwell-Poisson
-999.0,-999.0,218.51209827819991,372.5120982781999,154,1000,5,0.5,600,Turing
-999.0,-999.0,162.8,316.8,154,1000,5,0.5,600,Jackknife k = 2
-999.0,-999.0,99.19999999999999,253.2,154,1000,5,0.5,600,Jackknife k = 1
-999.0,-999.0,336.70054355999565,490.70054355999565,154,1000,5,0.5,600,Chao Lee Jeng 2
0.0695292404630298,4.8298988672149e7,68.37850090250377,314.3785009025038,246,1000,10,0.5,600,MPLE-NB
1.0e-6,1.0,304.1000130695201,550.1000130695202,246,1000,10,0.5,600,MPLE-G
-999.0,-999.0,109.26119402985074,355.26119402985074,246,1000,10,0.5,600,Chao
-999.0,-999.0,268.052878194218,514.052878194218,246,1000,10,0.5,600,Turing Geometric
-999.0,-999.0,59.7889447236181,305.7889447236181,246,1000,10,0.5,600,Schnabel
-999.0,-999.0,121.38590921295628,367.3859092129563,246,1000,10,0.5,600,Zelterman
-999.0,-999.0,95.1979318262637,341.1979318262637,246,1000,10,0.5,600,Chao Lee Jeng 1
-999.0,-999.0,119.38745726404932,365.3874572640493,246,1000,10,0.5,600,Chao Lee Jeng 0
