w_hat,a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
1.0e-6,1279.7464430573705,454.8039380292306,599.8039380292306,145,578,5,2.0,600,MPLE-NB
1.0e-6,1.0,1001.1893537731327,1146.1893537731326,145,578,5,2.0,600,MPLE-G
-999.0,-999.0,366.0952380952381,511.0952380952381,145,578,5,2.0,600,Chao
-999.0,-999.0,923.4126539041592,1068.4126539041592,145,578,5,2.0,600,Turing Geometric
-999.0,-999.0,303.5238095238095,448.5238095238095,145,578,5,2.0,600,Schnabel
-999.0,-999.0,359.6801757333009,504.6801757333009,145,578,5,2.0,600,Zelterman
-999.0,-999.0,313.4761904761904,458.4761904761904,145,578,5,2.0,600,Chao Lee Jeng 1
-999.0,-999.0,534.1487962882744,679.1487962882744,145,578,5,2.0,600,Chao Lee Jeng 0
-999.0,-999.0,221.75,366.75,145,578,5,2.0,600,Jackknife k = 4
-999.0,-999.0,203.25000000000006,348.25000000000006,145,578,5,2.0,600,Jackknife k = 3
-999.0,-999.0,221.75,366.75,145,578,5,2.0,600,Jackknife k = 5
-999.0,-999.0,923.4126539041592,1068.4126539041592,145,578,5,2.0,600,Conway-Maxwell-Poisson
-999.0,-999.0,329.5566014506935,474.5566014506935,145,578,5,2.0,600,Turing
-999.0,-999.0,164.15000000000003,309.15000000000003,145,578,5,2.0,600,Jackknife k = 2
-999.0,-999.0,99.19999999999999,244.2,145,578,5,2.0,600,Jackknife k = 1
-999.0,-999.0,313.4761904761904,458.4761904761904,145,578,5,2.0,600,Chao Lee Jeng 2
0.2895618841441333,1371.313822228832,166.36435917035283,393.3643591703528,227,578,10,2.0,600,MPLE-NB
1.0e-6,1.0,757.7784306775167,984.7784306775167,227,578,10,2.0,600,MPLE-G
-999.0,-999.0,378.45000000000005,605.45,227,578,10,2.0,600,Chao
-999.0,-999.0,751.466146687746,978.466146687746,227,578,10,2.0,600,Turing Geometric
-999.0,-999.0,231.3235294117647,458.3235294117647,227,578,10,2.0,600,Schnabel
-999.0,-999.0,388.89182952752276,615.8918295275228,227,578,10,2.0,600,Zelterman
-999.0,-999.0,378.8332020189662,605.8332020189662,227,578,10,2.0,600,Chao Lee Jeng 1
-999.0,-999.0,461.6216083400499,688.6216083400499,227,578,10,2.0,600,Chao Lee Jeng 0
-999.0,-999.0,407.25654761904764,634.2565476190476,227,578,10,2.0,600,Jackknife k = 4
-999.0,-999.0,347.72916666666663,574.7291666666666,227,578,10,2.0,600,Jackknife k = 3
-999.0,-999.0,451.72380952380956,678.7238095238096,227,578,10,2.0,600,Jackknife k = 5
-999.0,-999.0,751.466146687746,978.466146687746,227,578,10,2.0,600,Conway-Maxwell-Poisson
-999.0,-999.0,284.52339432638564,511.52339432638564,227,578,10,2.0,600,Turing
-999.0,-999.0,267.3555555555555,494.3555555555555,227,578,10,2.0,600,Jackknife k = 2
-999.0,-999.0,156.60000000000002,383.6,227,578,10,2.0,600,Jackknife k = 1
-999.0,-999.0,386.6140710409585,613.6140710409585,227,578,10,2.0,600,Chao Lee Jeng 2
0.04142091011035691,48.34212233948034,175.06717192465965,519.0671719246596,344,578,15,2.0,600,MPLE-NB
