w_hat,a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.18605489662622307,778.7636856725019,460.2672705772484,588.2672705772484,128,836,5,2.0,600,MPLE-NB
1.0e-6,1.0,1260.3063062565195,1388.3063062565195,128,836,5,2.0,600,MPLE-G
-999.0,-999.0,611.6363636363636,739.6363636363636,128,836,5,2.0,600,Chao
-999.0,-999.0,1248.719760537524,1376.719760537524,128,836,5,2.0,600,Turing Geometric
-999.0,-999.0,400.61538461538464,528.6153846153846,128,836,5,2.0,600,Schnabel
-999.0,-999.0,612.9308677017736,740.9308677017736,128,836,5,2.0,600,Zelterman
-999.0,-999.0,550.2077726286533,678.2077726286533,128,836,5,2.0,600,Chao Lee Jeng 1
-999.0,-999.0,866.5548487804874,994.5548487804874,128,836,5,2.0,600,Chao Lee Jeng 0
-999.0,-999.0,218.5,346.5,128,836,5,2.0,600,Jackknife k = 4
-999.0,-999.0,198.48333333333335,326.48333333333335,128,836,5,2.0,600,Jackknife k = 3
-999.0,-999.0,218.5,346.5,128,836,5,2.0,600,Jackknife k = 5
-999.0,-999.0,1248.719760537524,1376.719760537524,128,836,5,2.0,600,Conway-Maxwell-Poisson
-999.0,-999.0,463.2712932297269,591.2712932297269,128,836,5,2.0,600,Turing
-999.0,-999.0,157.45,285.45,128,836,5,2.0,600,Jackknife k = 2
-999.0,-999.0,92.80000000000001,220.8,128,836,5,2.0,600,Jackknife k = 1
-999.0,-999.0,572.0630894308943,700.0630894308943,128,836,5,2.0,600,Chao Lee Jeng 2
0.26889590142251074,3.4886056287790406,323.7816409811039,570.7816409811039,247,836,10,2.0,600,MPLE-NB
0.105263158117041,1.0,776.7499996673756,1023.7499996673756,247,836,10,2.0,600,MPLE-G
-999.0,-999.0,475.3125,722.3125,247,836,10,2.0,600,Chao
-999.0,-999.0,911.5137219423755,1158.5137219423755,247,836,10,2.0,600,Turing Geometric
-999.0,-999.0,281.1617647058823,528.1617647058823,247,836,10,2.0,600,Schnabel
-999.0,-999.0,486.98335085478857,733.9833508547886,247,836,10,2.0,600,Zelterman
-999.0,-999.0,488.61304375702014,735.6130437570201,247,836,10,2.0,600,Chao Lee Jeng 1
-999.0,-999.0,591.517928394587,838.517928394587,247,836,10,2.0,600,Chao Lee Jeng 0
-999.0,-999.0,465.1380952380953,712.1380952380953,247,836,10,2.0,600,Jackknife k = 4
-999.0,-999.0,396.70000000000005,643.7,247,836,10,2.0,600,Jackknife k = 3
-999.0,-999.0,514.2531746031747,761.2531746031747,247,836,10,2.0,600,Jackknife k = 5
