w_hat,a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
1.0e-6,184.57399975084266,663.9559166030612,737.9559166030612,74,86,5,2.0,600,MPLE-NB
1.0e-6,1.0,1368.9985610692352,1442.9985610692352,74,86,5,2.0,600,MPLE-G
-999.0,-999.0,612.5,686.5,74,86,5,2.0,600,Chao
-999.0,-999.0,1330.9992684707145,1404.9992684707145,74,86,5,2.0,600,Turing Geometric
-999.0,-999.0,496.75,570.75,74,86,5,2.0,600,Schnabel
-999.0,-999.0,611.204608534899,685.204608534899,74,86,5,2.0,600,Zelterman
-999.0,-999.0,503.20000000000005,577.2,74,86,5,2.0,600,Chao Lee Jeng 1
-999.0,-999.0,815.4727979274617,889.4727979274617,74,86,5,2.0,600,Chao Lee Jeng 0
-999.0,-999.0,135.0,209.0,74,86,5,2.0,600,Jackknife k = 4
-999.0,-999.0,122.19999999999999,196.2,74,86,5,2.0,600,Jackknife k = 3
-999.0,-999.0,135.0,209.0,74,86,5,2.0,600,Jackknife k = 5
-999.0,-999.0,1330.9992684707145,1404.9992684707145,74,86,5,2.0,600,Conway-Maxwell-Poisson
-999.0,-999.0,510.90014259603765,584.9001425960377,74,86,5,2.0,600,Turing
-999.0,-999.0,96.19999999999999,170.2,74,86,5,2.0,600,Jackknife k = 2
-999.0,-999.0,56.0,130.0,74,86,5,2.0,600,Jackknife k = 1
-999.0,-999.0,503.20000000000005,577.2,74,86,5,2.0,600,Chao Lee Jeng 2
1.0e-6,52.771556473238846,352.09702644429973,508.09702644429973,156,86,10,2.0,600,MPLE-NB
1.0e-6,1.0,785.0313323284415,941.0313323284415,156,86,10,2.0,600,MPLE-G
-999.0,-999.0,315.0769230769231,471.0769230769231,156,86,10,2.0,600,Chao
-999.0,-999.0,747.511378780602,903.511378780602,156,86,10,2.0,600,Turing Geometric
-999.0,-999.0,296.61290322580646,452.61290322580646,156,86,10,2.0,600,Schnabel
-999.0,-999.0,311.2667799730192,467.2667799730192,156,86,10,2.0,600,Zelterman
-999.0,-999.0,302.58125022137347,458.58125022137347,156,86,10,2.0,600,Chao Lee Jeng 1
-999.0,-999.0,388.10459090616223,544.1045909061622,156,86,10,2.0,600,Chao Lee Jeng 0
-999.0,-999.0,300.05535714285713,456.05535714285713,156,86,10,2.0,600,Jackknife k = 4
-999.0,-999.0,258.85416666666663,414.85416666666663,156,86,10,2.0,600,Jackknife k = 3
-999.0,-999.0,327.34107142857147,483.34107142857147,156,86,10,2.0,600,Jackknife k = 5
-999.0,-999.0,747.511378780602,903.511378780602,156,86,10,2.0,600,Conway-Maxwell-Poisson
-999.0,-999.0,297.83143371981697,453.83143371981697,156,86,10,2.0,600,Turing
-999.0,-999.0,199.11111111111114,355.11111111111114,156,86,10,2.0,600,Jackknife k = 2
-999.0,-999.0,115.19999999999999,271.2,156,86,10,2.0,600,Jackknife k = 1
