dataset,log_pseudo_oizt,log_pseudo_ztoi,N_hat_oizt,N_hat_ztoi,a_hat_oizt,a_hat_ztoi,w_hat_oizt,w_hat_ztoi
arboreal_geckos.txt,-77.539,-77.544,100.0,100.0,5249.91,1066.68,0.0,0.0
cottontail_rabbit.txt,-97.68,-97.68,96.0,96.0,2.48,2.48,0.25,0.18
diabetes_italy.txt,-2254.378,-2254.51,2976.0,2975.0,5451.14,1255.32,0.0,0.0
dolphins_brazil.txt,-405.276,-405.276,783.0,783.0,2.19,2.19,0.0,0.0
domestic_violence.txt,-8923.029,-8922.851,545477.0,1.141895e6,0.08,0.04,0.21,0.0
forced_labour.txt,-4039.225,-4039.227,17579.0,17634.0,1.92,1.9,0.0,0.0
hepatitis_taiwan.txt,-228.62,-228.619,441.0,441.0,5608.38,22026.47,0.17,0.1
heroin_usage.txt,-21418.127,-21418.127,10395.0,10395.0,1.62,1.62,0.06,0.05
illegal_immigrants.txt,-872.564,-872.565,19420.0,17364.0,0.27,0.31,0.35,0.05
meth_usage.txt,-1119.456,-1119.429,477773.0,956833.0,0.01,0.0,0.8,0.01
opiate_usage.txt,-2335.119,-2335.119,3819.0,3819.0,1.53,1.53,0.1,0.05
pleiades.txt,-88.346,-88.342,24137.0,58411.0,0.01,0.0,0.55,0.0
scrapie_france.txt,-75.208,-75.208,151.0,151.0,22026.47,22026.47,0.69,0.6
taxicab_edinburgh.txt,-333.677,-333.675,382.0,382.0,4059.01,22026.47,0.03,0.02
