w_hat,a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
0.0,19930.370438230297,308.7155746889763,394.7155746889763,86,1000,5,0.5,1000,MPLE-NB
0.0,1.0,672.3636363704842,758.3636363704842,86,1000,5,0.5,1000,MPLE-G
-999.0,-999.0,255.6818181818182,341.6818181818182,86,1000,5,0.5,1000,Chao
-999.0,-999.0,626.6022957713521,712.6022957713521,86,1000,5,0.5,1000,Turing Geometric
-999.0,-999.0,159.45454545454547,245.45454545454547,86,1000,5,0.5,1000,Schnabel
-999.0,-999.0,252.28103182463082,338.2810318246308,86,1000,5,0.5,1000,Zelterman
-999.0,-999.0,227.15525238709404,313.15525238709404,86,1000,5,0.5,1000,Chao Lee Jeng 1
-999.0,-999.0,372.80801462603546,458.80801462603546,86,1000,5,0.5,1000,Chao Lee Jeng 0
-999.0,-999.0,136.25,222.25,86,1000,5,0.5,1000,Jackknife k = 4
-999.0,-999.0,232.0,318.0,86,1000,5,0.5,1000,Morgan Ridout
-999.0,-999.0,124.55000000000001,210.55,86,1000,5,0.5,1000,Jackknife k = 3
-999.0,-999.0,136.25,222.25,86,1000,5,0.5,1000,Jackknife k = 5
-999.0,-999.0,-1085,-999,86,1000,5,0.5,1000,Conway-Maxwell-Poisson
-999.0,-999.0,226.77266140227044,312.77266140227044,86,1000,5,0.5,1000,Turing
-999.0,-999.0,100.05000000000001,186.05,86,1000,5,0.5,1000,Jackknife k = 2
-999.0,-999.0,60.0,146.0,86,1000,5,0.5,1000,Jackknife k = 1
-999.0,-999.0,227.15525238709404,313.15525238709404,86,1000,5,0.5,1000,Chao Lee Jeng 2
0.20838555975478237,6804.796227242659,152.55830717205004,303.55830717205004,151,1000,10,0.5,1000,MPLE-NB
0.0,1.0,542.8809523837043,693.8809523837043,151,1000,10,0.5,1000,MPLE-G
-999.0,-999.0,253.5,404.5,151,1000,10,0.5,1000,Chao
-999.0,-999.0,531.0228075381469,682.0228075381469,151,1000,10,0.5,1000,Turing Geometric
-999.0,-999.0,168.04761904761904,319.04761904761904,151,1000,10,0.5,1000,Schnabel
-999.0,-999.0,257.4538439711092,408.4538439711092,151,1000,10,0.5,1000,Zelterman
-999.0,-999.0,211.99107642776028,362.9910764277603,151,1000,10,0.5,1000,Chao Lee Jeng 1
-999.0,-999.0,252.2465657259619,403.2465657259619,151,1000,10,0.5,1000,Chao Lee Jeng 0
-999.0,-999.0,271.45119047619045,422.45119047619045,151,1000,10,0.5,1000,Jackknife k = 4
-999.0,-999.0,310.0,461.0,151,1000,10,0.5,1000,Morgan Ridout
-999.0,-999.0,232.95833333333337,383.95833333333337,151,1000,10,0.5,1000,Jackknife k = 3
-999.0,-999.0,299.32718253968255,450.32718253968255,151,1000,10,0.5,1000,Jackknife k = 5
-999.0,-999.0,430.16416075566826,581.1641607556683,151,1000,10,0.5,1000,Conway-Maxwell-Poisson
-999.0,-999.0,202.98180395065322,353.9818039506532,151,1000,10,0.5,1000,Turing
-999.0,-999.0,179.7,330.7,151,1000,10,0.5,1000,Jackknife k = 2
-999.0,-999.0,105.30000000000001,256.3,151,1000,10,0.5,1000,Jackknife k = 1
-999.0,-999.0,214.8902224092294,365.8902224092294,151,1000,10,0.5,1000,Chao Lee Jeng 2
0.31431361412932174,15016.86560332542,84.92229493990828,302.9222949399083,218,1000,15,0.5,1000,MPLE-NB
0.0,1.0,540.0454545456187,758.0454545456187,218,1000,15,0.5,1000,MPLE-G
-999.0,-999.0,273.0113636363636,491.0113636363636,218,1000,15,0.5,1000,Chao
-999.0,-999.0,538.191898914557,756.191898914557,218,1000,15,0.5,1000,Turing Geometric
-999.0,-999.0,154.92045454545456,372.92045454545456,218,1000,15,0.5,1000,Schnabel
-999.0,-999.0,285.2362644913688,503.2362644913688,218,1000,15,0.5,1000,Zelterman
-999.0,-999.0,220.458636094645,438.458636094645,218,1000,15,0.5,1000,Chao Lee Jeng 1
-999.0,-999.0,246.4638654259291,464.4638654259291,218,1000,15,0.5,1000,Chao Lee Jeng 0
-999.0,-999.0,361.7708791208793,579.7708791208793,218,1000,15,0.5,1000,Jackknife k = 4
-999.0,-999.0,467.6,685.6,218,1000,15,0.5,1000,Morgan Ridout
-999.0,-999.0,312.96190476190475,530.9619047619047,218,1000,15,0.5,1000,Jackknife k = 3
-999.0,-999.0,394.8423076923077,612.8423076923077,218,1000,15,0.5,1000,Jackknife k = 5
-999.0,-999.0,761.2991946998307,979.2991946998307,218,1000,15,0.5,1000,Conway-Maxwell-Poisson
-999.0,-999.0,203.2684180276786,421.2684180276786,218,1000,15,0.5,1000,Turing
-999.0,-999.0,243.59047619047618,461.5904761904762,218,1000,15,0.5,1000,Jackknife k = 2
-999.0,-999.0,144.66666666666663,362.66666666666663,218,1000,15,0.5,1000,Jackknife k = 1
-999.0,-999.0,222.09883336025848,440.0988333602585,218,1000,15,0.5,1000,Chao Lee Jeng 2
0.0,4.697025251364174,177.87143489522228,472.87143489522225,295,1000,20,0.5,1000,MPLE-NB
0.0,1.0,397.374429371443,692.3744293714431,295,1000,20,0.5,1000,MPLE-G
-999.0,-999.0,129.16666666666663,424.16666666666663,295,1000,20,0.5,1000,Chao
-999.0,-999.0,359.30732654643907,654.3073265464391,295,1000,20,0.5,1000,Turing Geometric
-999.0,-999.0,90.78995433789953,385.78995433789953,295,1000,20,0.5,1000,Schnabel
-999.0,-999.0,127.14876440453332,422.1487644045333,295,1000,20,0.5,1000,Zelterman
-999.0,-999.0,121.15363739230702,416.153637392307,295,1000,20,0.5,1000,Chao Lee Jeng 1
-999.0,-999.0,134.84149950035135,429.84149950035135,295,1000,20,0.5,1000,Chao Lee Jeng 0
-999.0,-999.0,169.33977468180257,464.33977468180257,295,1000,20,0.5,1000,Jackknife k = 4
-999.0,-999.0,170.60000000000002,465.6,295,1000,20,0.5,1000,Morgan Ridout
-999.0,-999.0,210.10716374269003,505.10716374269003,295,1000,20,0.5,1000,Jackknife k = 3
-999.0,-999.0,93.31365239078082,388.3136523907808,295,1000,20,0.5,1000,Jackknife k = 5
-999.0,-999.0,214.47117964254778,509.4711796425478,295,1000,20,0.5,1000,Conway-Maxwell-Poisson
-999.0,-999.0,116.5040561475247,411.5040561475247,295,1000,20,0.5,1000,Turing
-999.0,-999.0,207.4552631578947,502.4552631578947,295,1000,20,0.5,1000,Jackknife k = 2
-999.0,-999.0,147.25,442.25,295,1000,20,0.5,1000,Jackknife k = 1
-999.0,-999.0,121.69283315814238,416.6928331581424,295,1000,20,0.5,1000,Chao Lee Jeng 2
0.11959042170572975,3.095136336077084,110.62723128846697,491.627231288467,381,1000,25,0.5,1000,MPLE-NB
0.0,1.0,357.5394142989139,738.5394142989139,381,1000,25,0.5,1000,MPLE-G
-999.0,-999.0,170.52631578947364,551.5263157894736,381,1000,25,0.5,1000,Chao
-999.0,-999.0,349.2253972136223,730.2253972136223,381,1000,25,0.5,1000,Turing Geometric
-999.0,-999.0,47.1847290640394,428.1847290640394,381,1000,25,0.5,1000,Schnabel
-999.0,-999.0,203.35496853096402,584.354968530964,381,1000,25,0.5,1000,Zelterman
-999.0,-999.0,129.98041317705088,510.9804131770509,381,1000,25,0.5,1000,Chao Lee Jeng 1
