dataset,true_N,MPLE_NB,CI_lower_NB,CI_upper_NB,MPLE_Geom,CI_lower_Geom,CI_upper_Geom
arboreal_geckos.txt,106,100,89,116,168,141,207
cottontail_rabbit.txt,135,96,76,726,142,102,193
diabetes_italy.txt,,2976,2909,3048,4993,4827,5171
domestic_violence.txt,,545477,199624,1534111,70485,64934,77173
dutch_illegal_immigrants.txt,,19420,2643,193535,7335,5746,9796
flare_stars.txt,,24137,226,2107753,226,145,831
forced_labour.txt,,17579,14648,22561,22458,21493,23490
guiana_dolphins.txt,,783,612,1126,1014,914,1135
hepatitis_taiwan.txt,545,441,354,549,927,800,1085
heroin_usage.txt,,10395,10071,10750,12207,12123,12273
meth_usage.txt,,477773,3345,16923939,3345,3345,3345
opiate_usage.txt,,3819,2625,5856,4761,4362,5083
scrapie_france.txt,,151,141,5819,378,223,930
taxicab_edinburgh.txt,420,382,329,421,652,595,720
