dataset,No,a_hat,w_NB,w_Geom
arboreal_geckos.txt,70,5249.91,0.0,0.0
cottontail_rabbit.txt,76,2.48,0.25,0.13
diabetes_italy.txt,2059,5451.14,0.0,0.0
domestic_violence.txt,17662,0.08,0.21,0.38
dutch_illegal_immigrants.txt,1880,0.27,0.35,0.46
flare_stars.txt,145,0.01,0.55,0.66
forced_labour.txt,5491,1.92,0.0,0.0
guiana_dolphins.txt,382,2.19,0.0,0.0
hepatitis_taiwan.txt,271,5608.38,0.17,0.0
heroin_usage.txt,9302,1.62,0.06,0.0
meth_usage.txt,3345,0.01,0.8,0.87
opiate_usage.txt,2029,1.53,0.1,0.03
scrapie_france.txt,141,22026.47,0.69,0.54
taxicab_edinburgh.txt,283,4059.01,0.03,0.0
