a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
36.3204303119307,581.0110022245501,768.0110022245501,187,1,5,1.0,1000.0,Pseudolikelihood
-999.0,1174.6060576937075,1361.6060576937075,187,1,5,1.0,1000.0,Turing Geometric
-999.0,14.68579442730288,201.68579442730288,187,1,5,1.0,1000.0,Huggins
-999.0,264.7857142857143,451.7857142857143,187,1,5,1.0,1000.0,Schnabel
-999.0,486.94030530410566,673.9403053041057,187,1,5,1.0,1000.0,Zelterman
-999.0,287.75,474.75,187,1,5,1.0,1000.0,Jackknife k = 4
-999.0,263.43333333333334,450.43333333333334,187,1,5,1.0,1000.0,Jackknife k = 3
-999.0,287.75,474.75,187,1,5,1.0,1000.0,Jackknife k = 5
-999.0,83.83179870832635,270.83179870832635,187,1,5,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,418.5642489980348,605.5642489980348,187,1,5,1.0,1000.0,Turing
-999.0,212.3,399.3,187,1,5,1.0,1000.0,Jackknife k = 2
-999.0,128.0,315.0,187,1,5,1.0,1000.0,Jackknife k = 1
-999.0,492.3076923076924,679.3076923076924,187,1,5,1.0,1000.0,Chao
49.44813596479236,333.15541657814384,700.1554165781438,367,1,10,1.0,1000.0,Pseudolikelihood
-999.0,796.3169374312813,1163.3169374312813,367,1,10,1.0,1000.0,Turing Geometric
-999.0,8.542369848971703,375.5423698489717,367,1,10,1.0,1000.0,Huggins
-999.0,216.7341772151899,583.7341772151899,367,1,10,1.0,1000.0,Schnabel
-999.0,345.6409244106295,712.6409244106295,367,1,10,1.0,1000.0,Zelterman
-999.0,486.4295634920635,853.4295634920635,367,1,10,1.0,1000.0,Jackknife k = 4
-999.0,436.14027777777767,803.1402777777777,367,1,10,1.0,1000.0,Jackknife k = 3
-999.0,518.2331349206348,885.2331349206348,367,1,10,1.0,1000.0,Jackknife k = 5
-999.0,427.54902700877074,794.5490270087707,367,1,10,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,277.67431021749303,644.674310217493,367,1,10,1.0,1000.0,Turing
-999.0,354.91111111111115,721.9111111111112,367,1,10,1.0,1000.0,Jackknife k = 2
-999.0,221.39999999999998,588.4,367,1,10,1.0,1000.0,Jackknife k = 1
-999.0,339.97752808988764,706.9775280898876,367,1,10,1.0,1000.0,Chao
5.971865358282059,297.9320211270456,745.9320211270456,448,1,15,1.0,1000.0,Pseudolikelihood
-999.0,642.8719486478155,1090.8719486478155,448,1,15,1.0,1000.0,Turing Geometric
-999.0,5.298534850866929,453.29853485086693,448,1,15,1.0,1000.0,Huggins
-999.0,155.95547945205476,603.9554794520548,448,1,15,1.0,1000.0,Schnabel
-999.0,297.67481338816185,745.6748133881619,448,1,15,1.0,1000.0,Zelterman
-999.0,474.20457875457885,922.2045787545788,448,1,15,1.0,1000.0,Jackknife k = 4
-999.0,436.3150183150184,884.3150183150184,448,1,15,1.0,1000.0,Jackknife k = 3
-999.0,496.09940614940615,944.0994061494061,448,1,15,1.0,1000.0,Jackknife k = 5
-999.0,431.5653271150402,879.5653271150402,448,1,15,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,212.79477592894227,660.7947759289423,448,1,15,1.0,1000.0,Turing
-999.0,367.6380952380953,815.6380952380953,448,1,15,1.0,1000.0,Jackknife k = 2
-999.0,239.86666666666667,687.8666666666667,448,1,15,1.0,1000.0,Jackknife k = 1
-999.0,279.8686440677966,727.8686440677966,448,1,15,1.0,1000.0,Chao
2.3230772298554045,344.54102216544396,892.541022165444,548,1,20,1.0,1000.0,Pseudolikelihood
-999.0,574.4133394384569,1122.413339438457,548,1,20,1.0,1000.0,Turing Geometric
-999.0,4.074471133076713,552.0744711330767,548,1,20,1.0,1000.0,Huggins
-999.0,102.93625498007964,650.9362549800796,548,1,20,1.0,1000.0,Schnabel
-999.0,320.7651315835956,868.7651315835956,548,1,20,1.0,1000.0,Zelterman
-999.0,515.4031819745442,1063.4031819745442,548,1,20,1.0,1000.0,Jackknife k = 4
-999.0,465.76520467836247,1013.7652046783625,548,1,20,1.0,1000.0,Jackknife k = 3
-999.0,553.5199099157205,1101.5199099157205,548,1,20,1.0,1000.0,Jackknife k = 5
-999.0,491.0857662418671,1039.085766241867,548,1,20,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,176.93752262231067,724.9375226223107,548,1,20,1.0,1000.0,Turing
-999.0,391.9394736842105,939.9394736842105,548,1,20,1.0,1000.0,Jackknife k = 2
-999.0,261.25,809.25,548,1,20,1.0,1000.0,Jackknife k = 1
-999.0,276.0036496350365,824.0036496350365,548,1,20,1.0,1000.0,Chao
36.32043038745136,581.0110029261409,768.0110029261409,187,10,5,1.0,1000.0,Pseudolikelihood
-999.0,1174.6060576937075,1361.6060576937075,187,10,5,1.0,1000.0,Turing Geometric
-999.0,14.685794427302909,201.6857944273029,187,10,5,1.0,1000.0,Huggins
-999.0,264.42857142857144,451.42857142857144,187,10,5,1.0,1000.0,Schnabel
-999.0,486.94030530410566,673.9403053041057,187,10,5,1.0,1000.0,Zelterman
-999.0,287.75,474.75,187,10,5,1.0,1000.0,Jackknife k = 4
-999.0,263.43333333333334,450.43333333333334,187,10,5,1.0,1000.0,Jackknife k = 3
-999.0,287.75,474.75,187,10,5,1.0,1000.0,Jackknife k = 5
-999.0,83.83179870832635,270.83179870832635,187,10,5,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,418.5642489980348,605.5642489980348,187,10,5,1.0,1000.0,Turing
-999.0,212.3,399.3,187,10,5,1.0,1000.0,Jackknife k = 2
-999.0,128.0,315.0,187,10,5,1.0,1000.0,Jackknife k = 1
-999.0,492.3076923076924,679.3076923076924,187,10,5,1.0,1000.0,Chao
47.92490854315626,252.63064190016394,607.6306419001639,355,10,10,1.0,1000.0,Pseudolikelihood
-999.0,668.6366784595482,1023.6366784595482,355,10,10,1.0,1000.0,Turing Geometric
-999.0,8.020179180755179,363.0201791807552,355,10,10,1.0,1000.0,Huggins
-999.0,183.1470588235294,538.1470588235294,355,10,10,1.0,1000.0,Schnabel
-999.0,261.71864736382645,616.7186473638264,355,10,10,1.0,1000.0,Zelterman
-999.0,403.8811507936508,758.8811507936508,355,10,10,1.0,1000.0,Jackknife k = 4
-999.0,372.1013888888889,727.1013888888889,355,10,10,1.0,1000.0,Jackknife k = 3
-999.0,421.26706349206347,776.2670634920635,355,10,10,1.0,1000.0,Jackknife k = 5
-999.0,247.1493265678065,602.1493265678065,355,10,10,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,225.1972874843583,580.1972874843583,355,10,10,1.0,1000.0,Turing
-999.0,312.5333333333333,667.5333333333333,355,10,10,1.0,1000.0,Jackknife k = 2
-999.0,201.60000000000002,556.6,355,10,10,1.0,1000.0,Jackknife k = 1
-999.0,261.33333333333326,616.3333333333333,355,10,10,1.0,1000.0,Chao
6.151618517418753,261.13034851890916,696.1303485189092,435,10,15,1.0,1000.0,Pseudolikelihood
-999.0,569.8903235350712,1004.8903235350712,435,10,15,1.0,1000.0,Turing Geometric
-999.0,5.018013593281125,440.0180135932811,435,10,15,1.0,1000.0,Huggins
-999.0,135.344262295082,570.344262295082,435,10,15,1.0,1000.0,Schnabel
-999.0,234.01539498650038,669.0153949865004,435,10,15,1.0,1000.0,Zelterman
-999.0,361.4956043956046,796.4956043956046,435,10,15,1.0,1000.0,Jackknife k = 4
-999.0,366.21794871794884,801.2179487179488,435,10,15,1.0,1000.0,Jackknife k = 3
-999.0,325.86390276390284,760.8639027639028,435,10,15,1.0,1000.0,Jackknife k = 5
-999.0,346.38104238977587,781.3810423897759,435,10,15,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,183.41546612957643,618.4154661295764,435,10,15,1.0,1000.0,Turing
-999.0,327.804761904762,762.804761904762,435,10,15,1.0,1000.0,Jackknife k = 2
-999.0,222.13333333333333,657.1333333333333,435,10,15,1.0,1000.0,Jackknife k = 1
-999.0,226.57600000000002,661.576,435,10,15,1.0,1000.0,Chao
1.7639986444175817,382.6831642642449,921.6831642642449,539,10,20,1.0,1000.0,Pseudolikelihood
-999.0,546.2107821974048,1085.2107821974048,539,10,20,1.0,1000.0,Turing Geometric
-999.0,3.98585014088917,542.9858501408892,539,10,20,1.0,1000.0,Huggins
-999.0,86.66536203522503,625.665362035225,539,10,20,1.0,1000.0,Schnabel
-999.0,269.8511645627766,808.8511645627766,539,10,20,1.0,1000.0,Zelterman
-999.0,420.0874871001031,959.0874871001031,539,10,20,1.0,1000.0,Jackknife k = 4
-999.0,411.7983918128655,950.7983918128655,539,10,20,1.0,1000.0,Jackknife k = 3
-999.0,414.9457575464395,953.9457575464395,539,10,20,1.0,1000.0,Jackknife k = 5
-999.0,524.9454088198186,1063.9454088198186,539,10,20,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,166.19449647510191,705.1944964751019,539,10,20,1.0,1000.0,Turing
-999.0,367.6157894736841,906.6157894736841,539,10,20,1.0,1000.0,Jackknife k = 2
-999.0,252.70000000000005,791.7,539,10,20,1.0,1000.0,Jackknife k = 1
-999.0,242.31506849315065,781.3150684931506,539,10,20,1.0,1000.0,Chao
30.850556712654033,802.8196746216396,995.8196746216396,193,100,5,1.0,1000.0,Pseudolikelihood
-999.0,1591.1183803598271,1784.1183803598271,193,100,5,1.0,1000.0,Turing Geometric
-999.0,15.41025260224663,208.41025260224663,193,100,5,1.0,1000.0,Huggins
-999.0,396.31818181818187,589.3181818181819,193,100,5,1.0,1000.0,Schnabel
-999.0,657.7020239483336,850.7020239483336,193,100,5,1.0,1000.0,Zelterman
-999.0,314.5,507.5,193,100,5,1.0,1000.0,Jackknife k = 4
-999.0,286.90000000000003,479.90000000000003,193,100,5,1.0,1000.0,Jackknife k = 3
-999.0,314.5,507.5,193,100,5,1.0,1000.0,Jackknife k = 5
-999.0,171.0,364.0,193,100,5,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,582.4080464615932,775.4080464615932,193,100,5,1.0,1000.0,Turing
-999.0,229.5,422.5,193,100,5,1.0,1000.0,Jackknife k = 2
-999.0,136.8,329.8,193,100,5,1.0,1000.0,Jackknife k = 1
-999.0,664.5681818181819,857.5681818181819,193,100,5,1.0,1000.0,Chao
63.34490027578155,309.17929339091665,672.1792933909167,363,100,10,1.0,1000.0,Pseudolikelihood
-999.0,743.3172181165271,1106.317218116527,363,100,10,1.0,1000.0,Turing Geometric
-999.0,8.352528398807465,371.35252839880746,363,100,10,1.0,1000.0,Huggins
-999.0,209.90123456790127,572.9012345679013,363,100,10,1.0,1000.0,Schnabel
-999.0,299.85954129975846,662.8595412997585,363,100,10,1.0,1000.0,Zelterman
-999.0,444.8325396825396,807.8325396825396,363,100,10,1.0,1000.0,Jackknife k = 4
-999.0,405.6277777777776,768.6277777777776,363,100,10,1.0,1000.0,Jackknife k = 3
-999.0,467.0865079365079,830.0865079365079,363,100,10,1.0,1000.0,Jackknife k = 5
-999.0,298.83955866426345,661.8395586642634,363,100,10,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,255.65929769692173,618.6592976969217,363,100,10,1.0,1000.0,Turing
-999.0,336.05555555555554,699.0555555555555,363,100,10,1.0,1000.0,Jackknife k = 2
-999.0,213.29999999999995,576.3,363,100,10,1.0,1000.0,Jackknife k = 1
-999.0,298.77127659574467,661.7712765957447,363,100,10,1.0,1000.0,Chao
5.473264590161821,302.0546515574202,749.0546515574201,447,100,15,1.0,1000.0,Pseudolikelihood
-999.0,626.3800934903911,1073.3800934903911,447,100,15,1.0,1000.0,Turing Geometric
-999.0,5.2693864275353235,452.2693864275353,447,100,15,1.0,1000.0,Huggins
-999.0,155.01365187713316,602.0136518771332,447,100,15,1.0,1000.0,Schnabel
-999.0,253.72161687787013,700.7216168778701,447,100,15,1.0,1000.0,Zelterman
-999.0,406.9721001221002,853.9721001221002,447,100,15,1.0,1000.0,Jackknife k = 4
-999.0,397.81684981684987,844.8168498168499,447,100,15,1.0,1000.0,Jackknife k = 3
-999.0,396.5354811854812,843.5354811854812,447,100,15,1.0,1000.0,Jackknife k = 5
-999.0,335.9552011231581,782.9552011231581,447,100,15,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,205.8602772787159,652.8602772787159,447,100,15,1.0,1000.0,Turing
-999.0,350.59047619047624,797.5904761904762,447,100,15,1.0,1000.0,Jackknife k = 2
-999.0,235.20000000000005,682.2,447,100,15,1.0,1000.0,Jackknife k = 1
-999.0,248.0625,695.0625,447,100,15,1.0,1000.0,Chao
2.5568070434860273,321.0733520193282,866.0733520193282,545,100,20,1.0,1000.0,Pseudolikelihood
-999.0,550.2028933871134,1095.2028933871134,545,100,20,1.0,1000.0,Turing Geometric
-999.0,4.006482693265639,549.0064826932656,545,100,20,1.0,1000.0,Huggins
-999.0,100.28712871287132,645.2871287128713,545,100,20,1.0,1000.0,Schnabel
-999.0,274.25394358525773,819.2539435852577,545,100,20,1.0,1000.0,Zelterman
-999.0,473.74099587203295,1018.740995872033,545,100,20,1.0,1000.0,Jackknife k = 4
-999.0,425.8823099415205,970.8823099415205,545,100,20,1.0,1000.0,Jackknife k = 3
-999.0,534.193363003096,1079.193363003096,545,100,20,1.0,1000.0,Jackknife k = 5
-999.0,400.3510297636907,945.3510297636907,545,100,20,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,167.1756341259229,712.1756341259229,545,100,20,1.0,1000.0,Turing
-999.0,366.61842105263156,911.6184210526316,545,100,20,1.0,1000.0,Jackknife k = 2
-999.0,251.75,796.75,545,100,20,1.0,1000.0,Jackknife k = 1
-999.0,242.15517241379314,787.1551724137931,545,100,20,1.0,1000.0,Chao
34.273402524915696,552.769482476904,738.769482476904,186,101,5,1.0,1000.0,Pseudolikelihood
-999.0,1092.6709130601253,1278.6709130601253,186,101,5,1.0,1000.0,Turing Geometric
-999.0,14.545503311945225,200.54550331194523,186,101,5,1.0,1000.0,Huggins
-999.0,253.48275862068965,439.48275862068965,186,101,5,1.0,1000.0,Schnabel
-999.0,416.19589081682557,602.1958908168256,186,101,5,1.0,1000.0,Zelterman
-999.0,277.75,463.75,186,101,5,1.0,1000.0,Jackknife k = 4
-999.0,255.05,441.05,186,101,5,1.0,1000.0,Jackknife k = 3
-999.0,277.75,463.75,186,101,5,1.0,1000.0,Jackknife k = 5
-999.0,157.0,343.0,186,101,5,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,386.36987796568906,572.369877965689,186,101,5,1.0,1000.0,Turing
-999.0,206.74999999999994,392.74999999999994,186,101,5,1.0,1000.0,Jackknife k = 2
-999.0,125.60000000000002,311.6,186,101,5,1.0,1000.0,Jackknife k = 1
-999.0,424.98275862068965,610.9827586206897,186,101,5,1.0,1000.0,Chao
26.330284588316328,316.75217323581757,678.7521732358175,362,101,10,1.0,1000.0,Pseudolikelihood
-999.0,750.8645833544881,1112.864583354488,362,101,10,1.0,1000.0,Turing Geometric
-999.0,8.349494290888458,370.34949429088846,362,101,10,1.0,1000.0,Huggins
-999.0,198.55214723926383,560.5521472392638,362,101,10,1.0,1000.0,Schnabel
-999.0,327.3184070687262,689.3184070687262,362,101,10,1.0,1000.0,Zelterman
-999.0,468.7561507936508,830.7561507936508,362,101,10,1.0,1000.0,Jackknife k = 4
-999.0,420.2930555555555,782.2930555555555,362,101,10,1.0,1000.0,Jackknife k = 3
-999.0,500.8426256613757,862.8426256613757,362,101,10,1.0,1000.0,Jackknife k = 5
-999.0,391.405818041471,753.405818041471,362,101,10,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,259.05826654932434,621.0582665493243,362,101,10,1.0,1000.0,Turing
-999.0,343.01111111111106,705.0111111111111,362,101,10,1.0,1000.0,Jackknife k = 2
-999.0,215.10000000000002,577.1,362,101,10,1.0,1000.0,Jackknife k = 1
-999.0,320.90449438202245,682.9044943820224,362,101,10,1.0,1000.0,Chao
4.074746565682407,330.41812349446644,777.4181234944665,447,101,15,1.0,1000.0,Pseudolikelihood
-999.0,644.4811986545812,1091.4811986545812,447,101,15,1.0,1000.0,Turing Geometric
-999.0,5.296299550813956,452.29629955081396,447,101,15,1.0,1000.0,Huggins
-999.0,151.15699658703068,598.1569965870307,447,101,15,1.0,1000.0,Schnabel
-999.0,310.6930715282815,757.6930715282815,447,101,15,1.0,1000.0,Zelterman
-999.0,495.70100732600736,942.7010073260074,447,101,15,1.0,1000.0,Jackknife k = 4
-999.0,446.88095238095264,893.8809523809526,447,101,15,1.0,1000.0,Jackknife k = 3
-999.0,534.6874375624376,981.6874375624376,447,101,15,1.0,1000.0,Jackknife k = 5
-999.0,449.34434198236363,896.3443419823636,447,101,15,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,213.62815706569916,660.6281570656992,447,101,15,1.0,1000.0,Turing
-999.0,371.85238095238105,818.852380952381,447,101,15,1.0,1000.0,Jackknife k = 2
-999.0,240.79999999999995,687.8,447,101,15,1.0,1000.0,Jackknife k = 1
-999.0,289.40869565217395,736.408695652174,447,101,15,1.0,1000.0,Chao
2.620988965861645,283.49806479971096,811.498064799711,528,101,20,1.0,1000.0,Pseudolikelihood
-999.0,507.08699583934686,1035.0869958393469,528,101,20,1.0,1000.0,Turing Geometric
-999.0,3.7936702646447884,531.7936702646448,528,101,20,1.0,1000.0,Huggins
-999.0,91.30076628352492,619.3007662835249,528,101,20,1.0,1000.0,Schnabel
-999.0,278.4122907158378,806.4122907158378,528,101,20,1.0,1000.0,Zelterman
-999.0,448.0369453044375,976.0369453044375,528,101,20,1.0,1000.0,Jackknife k = 4
-999.0,410.92046783625733,938.9204678362573,528,101,20,1.0,1000.0,Jackknife k = 3
-999.0,476.83676309339523,1004.8367630933952,528,101,20,1.0,1000.0,Jackknife k = 5
-999.0,412.6079758577083,940.6079758577083,528,101,20,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,151.21642227470466,679.2164222747047,528,101,20,1.0,1000.0,Turing
-999.0,351.9473684210527,879.9473684210527,528,101,20,1.0,1000.0,Jackknife k = 2
-999.0,239.39999999999998,767.4,528,101,20,1.0,1000.0,Jackknife k = 1
-999.0,236.95522388059703,764.955223880597,528,101,20,1.0,1000.0,Chao
32.09755376995025,687.4005236917939,877.4005236917939,190,102,5,1.0,1000.0,Pseudolikelihood
-999.0,1376.2125430059086,1566.2125430059086,190,102,5,1.0,1000.0,Turing Geometric
-999.0,15.05640126600349,205.0564012660035,190,102,5,1.0,1000.0,Huggins
-999.0,320.2,510.2,190,102,5,1.0,1000.0,Schnabel
-999.0,595.0341190946127,785.0341190946127,190,102,5,1.0,1000.0,Zelterman
-999.0,303.5,493.5,190,102,5,1.0,1000.0,Jackknife k = 4
-999.0,277.0833333333333,467.0833333333333,190,102,5,1.0,1000.0,Jackknife k = 3
-999.0,303.5,493.5,190,102,5,1.0,1000.0,Jackknife k = 5
-999.0,165.1999690988821,355.1999690988821,190,102,5,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,497.7764093403799,687.7764093403799,190,102,5,1.0,1000.0,Turing
-999.0,222.04999999999995,412.04999999999995,190,102,5,1.0,1000.0,Jackknife k = 2
-999.0,132.8,322.8,190,102,5,1.0,1000.0,Jackknife k = 1
-999.0,599.0434782608696,789.0434782608696,190,102,5,1.0,1000.0,Chao
5.196273076203987,415.3565351031254,781.3565351031255,366,102,10,1.0,1000.0,Pseudolikelihood
-999.0,809.6544902509766,1175.6544902509766,366,102,10,1.0,1000.0,Turing Geometric
-999.0,8.54608294072176,374.54608294072176,366,102,10,1.0,1000.0,Huggins
-999.0,209.25157232704407,575.2515723270441,366,102,10,1.0,1000.0,Schnabel
-999.0,399.2603355758172,765.2603355758172,366,102,10,1.0,1000.0,Zelterman
-999.0,529.8396825396825,895.8396825396825,366,102,10,1.0,1000.0,Jackknife k = 4
-999.0,460.7444444444444,826.7444444444444,366,102,10,1.0,1000.0,Jackknife k = 3
-999.0,583.564880952381,949.564880952381,366,102,10,1.0,1000.0,Jackknife k = 5
-999.0,646.7859694358228,1012.7859694358228,366,102,10,1.0,1000.0,Conway-Maxwell-Poisson
-999.0,283.5817843591367,649.5817843591367,366,102,10,1.0,1000.0,Turing
-999.0,365.69999999999993,731.6999999999999,366,102,10,1.0,1000.0,Jackknife k = 2
-999.0,224.10000000000002,590.1,366,102,10,1.0,1000.0,Jackknife k = 1
-999.0,382.7222222222222,748.7222222222222,366,102,10,1.0,1000.0,Chao
2.171517728061728,448.5586848891637,900.5586848891637,452,102,15,1.0,1000.0,Pseudolikelihood
-999.0,683.1054331971102,1135.1054331971102,452,102,15,1.0,1000.0,Turing Geometric
-999.0,5.440546226724848,457.44054622672485,452,102,15,1.0,1000.0,Huggins
-999.0,159.5451388888889,611.5451388888889,452,102,15,1.0,1000.0,Schnabel
-999.0,336.9630142607675,788.9630142607675,452,102,15,1.0,1000.0,Zelterman
-999.0,521.096550671551,973.096550671551,452,102,15,1.0,1000.0,Jackknife k = 4
-999.0,471.9494505494507,923.9494505494507,452,102,15,1.0,1000.0,Jackknife k = 3
-999.0,551.9592712842714,1003.9592712842714,452,102,15,1.0,1000.0,Jackknife k = 5
