a_hat,N_hat,Nu_hat,No,trial,T,alpha,N,type
-999.0,216.3921356201172,106.39213562011719,110,1,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,427.6526184082031,223.65261840820312,204,1,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,633.4968185424805,371.49681854248047,262,1,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,734.9871425628662,425.9871425628662,309,1,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,249.2425308227539,140.2425308227539,109,10,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,377.8136901855469,173.81369018554688,204,10,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,653.1989669799805,379.19896697998047,274,10,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,754.019287109375,432.019287109375,322,10,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,229.77622985839844,119.77622985839844,110,100,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,431.25341796875,223.25341796875,208,100,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,570.6068420410156,299.6068420410156,271,100,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,668.2165565490723,349.21655654907227,319,100,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,233.03123474121094,122.03123474121094,111,1000,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,382.7494812011719,172.74948120117188,210,1000,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,507.78661346435547,223.78661346435547,284,1000,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,686.0903358459473,351.09033584594727,335,1000,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,220.64450073242188,111.64450073242188,109,1001,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,357.72193908691406,147.72193908691406,210,1001,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,580.8212642669678,301.8212642669678,279,1001,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,623.7238883972168,308.7238883972168,315,1001,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,250.57018280029297,135.57018280029297,115,1002,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,378.11107635498047,165.11107635498047,213,1002,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,539.3842735290527,257.38427352905273,282,1002,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,641.534252166748,306.53425216674805,335,1002,20,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,256.63463592529297,141.63463592529297,115,1003,5,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,397.0833740234375,195.0833740234375,202,1003,10,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,549.5505294799805,273.55052947998047,276,1003,15,0.5,1000.0,Pseudolikelihood one-parameter
-999.0,633.1890754699707,320.1890754699707,313,1003,20,0.5,1000.0,Pseudolikelihood one-parameter
