a_hat,b_hat,N_hat,No,trial,T,alpha,N,type
0.7498750832816172,510.12790348143403,681.2617429562929,407,1,30,0.5,1000.0,Pseudolikelihood
-999.0,-999.0,755.2594460816632,407,1,30,0.5,1000.0,Turing Geometric
-999.0,-999.0,408.85826394848044,407,1,30,0.5,1000.0,Huggins
-999.0,-999.0,538.1383928571429,407,1,30,0.5,1000.0,Schnabel
-999.0,-999.0,651.8507957914472,407,1,30,0.5,1000.0,Zelterman
-999.0,-999.0,796.142404062519,407,1,30,0.5,1000.0,Jackknife k = 4
-999.0,-999.0,746.3079638752052,407,1,30,0.5,1000.0,Jackknife k = 3
-999.0,-999.0,847.5452221894749,407,1,30,0.5,1000.0,Jackknife k = 5
-999.0,-999.0,Nonsequential frequencies,407,1,30,0.5,1000.0,Conway-Maxwell-Poisson
-999.0,-999.0,509.75093049820606,407,1,30,0.5,1000.0,Turing
-999.0,-999.0,687.0919540229885,407,1,30,0.5,1000.0,Jackknife k = 2
-999.0,-999.0,592.6,407,1,30,0.5,1000.0,Jackknife k = 1
-999.0,-999.0,603.0851063829787,407,1,30,0.5,1000.0,Chao
0.28203795600261006,128.36480691037897,424.50177515854375,400,10,30,0.5,1000.0,Pseudolikelihood
-999.0,-999.0,750.5786204102351,400,10,30,0.5,1000.0,Turing Geometric
-999.0,-999.0,401.85361795299985,400,10,30,0.5,1000.0,Huggins
-999.0,-999.0,518.8963282937365,400,10,30,0.5,1000.0,Schnabel
-999.0,-999.0,702.459909093117,400,10,30,0.5,1000.0,Zelterman
-999.0,-999.0,849.3142127349023,400,10,30,0.5,1000.0,Jackknife k = 4
-999.0,-999.0,777.1484400656814,400,10,30,0.5,1000.0,Jackknife k = 3
-999.0,-999.0,937.9147541156161,400,10,30,0.5,1000.0,Jackknife k = 5
-999.0,-999.0,973.2491358355758,400,10,30,0.5,1000.0,Conway-Maxwell-Poisson
-999.0,-999.0,504.4158591402068,400,10,30,0.5,1000.0,Turing
-999.0,-999.0,699.5045977011494,400,10,30,0.5,1000.0,Jackknife k = 2
-999.0,-999.0,590.4333333333334,400,10,30,0.5,1000.0,Jackknife k = 1
-999.0,-999.0,633.789156626506,400,10,30,0.5,1000.0,Chao
0.4814518477277654,281.0734805424578,582.9180792179941,425,100,30,0.5,1000.0,Pseudolikelihood
-999.0,-999.0,839.2430272861831,425,100,30,0.5,1000.0,Turing Geometric
-999.0,-999.0,427.045898400474,425,100,30,0.5,1000.0,Huggins
-999.0,-999.0,560.2760180995475,425,100,30,0.5,1000.0,Schnabel
-999.0,-999.0,777.5799321918466,425,100,30,0.5,1000.0,Zelterman
-999.0,-999.0,936.7259426503678,425,100,30,0.5,1000.0,Jackknife k = 4
-999.0,-999.0,856.9242610837439,425,100,30,0.5,1000.0,Jackknife k = 3
-999.0,-999.0,1012.5370590828925,425,100,30,0.5,1000.0,Jackknife k = 5
-999.0,-999.0,Nonsequential frequencies,425,100,30,0.5,1000.0,Conway-Maxwell-Poisson
-999.0,-999.0,553.4238673297635,425,100,30,0.5,1000.0,Turing
-999.0,-999.0,764.6,425,100,30,0.5,1000.0,Jackknife k = 2
-999.0,-999.0,637.6666666666666,425,100,30,0.5,1000.0,Jackknife k = 1
-999.0,-999.0,703.1609195402299,425,100,30,0.5,1000.0,Chao
0.6049570125712329,360.76400621739185,596.935188207947,406,1000,30,0.5,1000.0,Pseudolikelihood
-999.0,-999.0,756.7676731567202,406,1000,30,0.5,1000.0,Turing Geometric
-999.0,-999.0,407.8704376562906,406,1000,30,0.5,1000.0,Huggins
-999.0,-999.0,521.6206140350877,406,1000,30,0.5,1000.0,Schnabel
-999.0,-999.0,650.1651983445339,406,1000,30,0.5,1000.0,Zelterman
-999.0,-999.0,789.3883080946299,406,1000,30,0.5,1000.0,Jackknife k = 4
-999.0,-999.0,745.0678981937601,406,1000,30,0.5,1000.0,Jackknife k = 3
-999.0,-999.0,843.0290977806782,406,1000,30,0.5,1000.0,Jackknife k = 5
-999.0,-999.0,Nonsequential frequencies,406,1000,30,0.5,1000.0,Conway-Maxwell-Poisson
-999.0,-999.0,509.88584685487643,406,1000,30,0.5,1000.0,Turing
-999.0,-999.0,688.9908045977011,406,1000,30,0.5,1000.0,Jackknife k = 2
-999.0,-999.0,593.5333333333333,406,1000,30,0.5,1000.0,Jackknife k = 1
-999.0,-999.0,604.0842105263158,406,1000,30,0.5,1000.0,Chao
0.4275118506829312,219.03247445287485,507.3524861056926,403,101,30,0.5,1000.0,Pseudolikelihood
-999.0,-999.0,749.5047150556821,403,101,30,0.5,1000.0,Turing Geometric
-999.0,-999.0,404.8633912340774,403,101,30,0.5,1000.0,Huggins
