estimator,N_hat,T,alpha
Chao,1271.4971562563253,5.0,10.0
Conway-Maxwell-Poisson,27451.501377973214,5.0,10.0
Huggins,851.3809159505835,5.0,10.0
Jackknife k = 1,265.142,5.0,10.0
Jackknife k = 2,345.4565,5.0,10.0
Jackknife k = 3,397.0335,5.0,10.0
Jackknife k = 4,422.3373333333333,5.0,10.0
Jackknife k = 5,422.3373333333333,5.0,10.0
Pseudolikelihood,1046.737406108541,5.0,10.0
Schnabel,1016.0126542322057,5.0,10.0
Turing,1023.9676608705211,5.0,10.0
Turing Geometric,2441.212165717327,5.0,10.0
Zelterman,1271.5283484423187,5.0,10.0
Chao,1009.8750220119291,10.0,10.0
Conway-Maxwell-Poisson,1622.515505818228,10.0,10.0
Huggins,908.0284051324103,10.0,10.0
Jackknife k = 1,507.927,10.0,10.0
Jackknife k = 2,672.1607777777776,10.0,10.0
Jackknife k = 3,795.5670833333332,10.0,10.0
Jackknife k = 4,887.8803452380952,10.0,10.0
Jackknife k = 5,956.2556081349206,10.0,10.0
Pseudolikelihood,965.3462844061294,10.0,10.0
Schnabel,906.4159154437227,10.0,10.0
Turing,914.0276389239244,10.0,10.0
Turing Geometric,1837.656546485051,10.0,10.0
Zelterman,1011.1725148971261,10.0,10.0
Chao,996.9985761467339,15.0,10.0
Conway-Maxwell-Poisson,1210.0491123564846,15.0,10.0
Huggins,995.7438439155751,15.0,10.0
Jackknife k = 1,656.058,15.0,10.0
Jackknife k = 2,854.0845238095238,15.0,10.0
Jackknife k = 3,995.3898864468865,15.0,10.0
Jackknife k = 4,1095.288615995116,15.0,10.0
Jackknife k = 5,1165.1239412254413,15.0,10.0
Pseudolikelihood,1026.5291327838258,15.0,10.0
Schnabel,925.7087297110724,15.0,10.0
Turing,936.13620933134,15.0,10.0
Turing Geometric,1760.6895123579461,15.0,10.0
Zelterman,998.5701777880485,15.0,10.0
Chao,987.2261119642742,20.0,10.0
Conway-Maxwell-Poisson,1129.3785228676634,20.0,10.0
Huggins,1043.4908086331523,20.0,10.0
Jackknife k = 1,774.8895,20.0,10.0
Jackknife k = 2,982.3949210526317,20.0,10.0
Jackknife k = 3,1115.8768581871345,20.0,10.0
Jackknife k = 4,1197.8350735294118,20.0,10.0
Jackknife k = 5,1244.2890106585396,20.0,10.0
Pseudolikelihood,1016.4137435072112,20.0,10.0
Schnabel,928.2344359826496,20.0,10.0
Turing,939.6828481720759,20.0,10.0
Turing Geometric,1680.7587670136145,20.0,10.0
Zelterman,990.247807628589,20.0,10.0
