estimator,N_hat,T,alpha
Chao,485.70711486327065,5.0,5.0
Conway-Maxwell-Poisson,19414.888762932984,5.0,5.0
Huggins,286.8615660879093,5.0,5.0
Jackknife k = 1,8.369135214729434,5.0,5.0
Jackknife k = 2,13.592508186051562,5.0,5.0
Jackknife k = 3,17.693619221833274,5.0,5.0
Jackknife k = 4,19.900773264251615,5.0,5.0
Jackknife k = 5,19.900773264251615,5.0,5.0
Pseudolikelihood,371.43535797212706,5.0,5.0
Schnabel,372.0292308808443,5.0,5.0
Turing,377.33661555875165,5.0,5.0
Turing Geometric,942.4491820140967,5.0,5.0
Zelterman,487.40163913765014,5.0,5.0
Chao,146.99115579814648,10.0,5.0
Conway-Maxwell-Poisson,1289.0311240860647,10.0,5.0
Huggins,89.0186724808692,10.0,5.0
Jackknife k = 1,13.760106992478113,10.0,5.0
Jackknife k = 2,24.41742032854177,10.0,5.0
Jackknife k = 3,36.114706837016115,10.0,5.0
Jackknife k = 4,48.05399098982684,10.0,5.0
Jackknife k = 5,59.49373430607347,10.0,5.0
Pseudolikelihood,114.24557928283423,10.0,5.0
Schnabel,102.45268475269371,10.0,5.0
Turing,106.33679479937943,10.0,5.0
Turing Geometric,234.81437633195887,10.0,5.0
Zelterman,151.30690286008496,10.0,5.0
Chao,97.71540296237823,15.0,5.0
Conway-Maxwell-Poisson,519.365574569139,15.0,5.0
Huggins,72.12588321930029,15.0,5.0
Jackknife k = 1,18.992962770256998,15.0,5.0
Jackknife k = 2,33.038920387097185,15.0,5.0
Jackknife k = 3,48.77377804588725,15.0,5.0
Jackknife k = 4,65.97582300701384,15.0,5.0
Jackknife k = 5,84.60317732865245,15.0,5.0
Pseudolikelihood,115.25640144966212,15.0,5.0
Schnabel,76.19189612785017,15.0,5.0
Turing,77.55782941577253,15.0,5.0
Turing Geometric,163.91843863045625,15.0,5.0
Zelterman,101.80316376043822,15.0,5.0
Chao,74.26234174295489,20.0,5.0
Conway-Maxwell-Poisson,298.9942766344856,20.0,5.0
Huggins,52.99033779934992,20.0,5.0
Jackknife k = 1,21.167079517567615,20.0,5.0
Jackknife k = 2,36.440345056321966,20.0,5.0
Jackknife k = 3,55.159844036051595,20.0,5.0
Jackknife k = 4,78.9510885849231,20.0,5.0
Jackknife k = 5,109.41770062207732,20.0,5.0
Pseudolikelihood,105.48077282189955,20.0,5.0
Schnabel,53.15632850846299,20.0,5.0
Turing,53.7507313327727,20.0,5.0
Turing Geometric,110.43589861029741,20.0,5.0
Zelterman,80.9898686086095,20.0,5.0
