estimator,N_hat,T,alpha
Chao,1504.687459942835,5.0,
Conway-Maxwell-Poisson,4348594.53904052,5.0,
Huggins,967.9541385666129,5.0,
Jackknife k = 1,231.174,5.0,
Jackknife k = 2,302.6685,5.0,
Jackknife k = 3,348.9481666666667,5.0,
Jackknife k = 4,371.745,5.0,
Jackknife k = 5,371.745,5.0,
Pseudolikelihood,1208.9843769543356,5.0,
Schnabel,1184.4558978243979,5.0,
Turing,1189.847347265468,5.0,
Turing Geometric,2872.70798798823,5.0,
Zelterman,1504.6593917609416,5.0,
Chao,1120.8915487550541,10.0,
Conway-Maxwell-Poisson,1589.9329805942937,10.0,
Huggins,1012.3908584239921,10.0,
Jackknife k = 1,460.309,10.0,
Jackknife k = 2,618.6138888888888,10.0,
Jackknife k = 3,741.5336944444444,10.0,
Jackknife k = 4,836.0456706349207,10.0,
Jackknife k = 5,907.6122397486772,10.0,
Pseudolikelihood,1101.8038179523737,10.0,
Schnabel,1043.7404140471776,10.0,
Turing,1041.1794247358564,10.0,
Turing Geometric,2145.0363215321267,10.0,
Zelterman,1118.9078246370998,10.0,
Chao,1061.122868060031,15.0,
Conway-Maxwell-Poisson,1130.9316722258861,15.0,
Huggins,1072.9030444470172,15.0,
Jackknife k = 1,635.8919999999999,15.0,
Jackknife k = 2,839.0349523809523,15.0,
Jackknife k = 3,988.5745567765568,15.0,
Jackknife k = 4,1097.1106736874237,15.0,
Jackknife k = 5,1174.51127003552,15.0,
Pseudolikelihood,1087.171805217335,15.0,
Schnabel,1021.708649285258,15.0,
Turing,1019.5227953346413,15.0,
Turing Geometric,1954.7272515791028,15.0,
Zelterman,1058.5272822489899,15.0,
Chao,1030.6611546968818,20.0,
Conway-Maxwell-Poisson,1072.979224747583,20.0,
Huggins,1110.2033864139903,20.0,
Jackknife k = 1,781.7044999999999,20.0,
Jackknife k = 2,999.511605263158,20.0,
Jackknife k = 3,1141.8199970760234,20.0,
Jackknife k = 4,1229.6318223254214,20.0,
Jackknife k = 5,1278.8080219351996,20.0,
Pseudolikelihood,1076.6946089393928,20.0,
Schnabel,1004.1838858567997,20.0,
Turing,1002.4725546727952,20.0,
Turing Geometric,1817.4722418270949,20.0,
Zelterman,1028.5219959746491,20.0,
