estimator,N_hat,T,alpha
Chao,1024.0103579683785,5.0,
Conway-Maxwell-Poisson,18310554.20590322,5.0,
Huggins,423.00497938264374,5.0,
Jackknife k = 1,6.491682635060294,5.0,
Jackknife k = 2,10.575726579141868,5.0,
Jackknife k = 3,13.791147165900131,5.0,
Jackknife k = 4,15.523482537788038,5.0,
Jackknife k = 5,15.523482537788038,5.0,
Pseudolikelihood,558.6810515032379,5.0,
Schnabel,559.0414764569737,5.0,
Turing,574.0270045848415,5.0,
Turing Geometric,1434.3687065005852,5.0,
Zelterman,1029.6240025470945,5.0,
Chao,228.3402786890477,10.0,
Conway-Maxwell-Poisson,2111.9326229086596,10.0,
Huggins,163.52060548732197,10.0,
Jackknife k = 1,14.478295110023467,10.0,
Jackknife k = 2,25.463398435211033,10.0,
Jackknife k = 3,37.237312696869395,10.0,
Jackknife k = 4,48.9410529904557,10.0,
Jackknife k = 5,59.869847808126956,10.0,
Pseudolikelihood,210.56478777825578,10.0,
Schnabel,188.30496976916805,10.0,
Turing,189.37780179351864,10.0,
Turing Geometric,419.2445477147275,10.0,
Zelterman,230.91505694221146,10.0,
Chao,133.21206916870247,15.0,
Conway-Maxwell-Poisson,565.1407527528218,15.0,
Huggins,100.7576671913525,15.0,
Jackknife k = 1,19.485450049623267,15.0,
Jackknife k = 2,34.989904158007555,15.0,
Jackknife k = 3,52.855230520775976,15.0,
Jackknife k = 4,72.5226598078931,15.0,
Jackknife k = 5,93.55736803468979,15.0,
Pseudolikelihood,111.11533969223395,15.0,
Schnabel,109.92230239863038,15.0,
Turing,109.9890454840134,15.0,
Turing Geometric,233.56343599366818,15.0,
Zelterman,136.884619994458,15.0,
Chao,86.4340330042859,20.0,
Conway-Maxwell-Poisson,286.74666208123506,20.0,
Huggins,66.13528312179947,20.0,
Jackknife k = 1,21.14835296378439,20.0,
Jackknife k = 2,37.734670852246026,20.0,
Jackknife k = 3,57.72121849033562,20.0,
Jackknife k = 4,81.73238278687256,20.0,
Jackknife k = 5,110.64129546414999,20.0,
Pseudolikelihood,94.58903646635333,20.0,
Schnabel,67.8049514195896,20.0,
Turing,68.23905471151153,20.0,
Turing Geometric,141.274606602226,20.0,
Zelterman,91.43767591730311,20.0,
