a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
1000.0,12128.318684963793,12284.318684963793,156,1,5,ba_25,10000,Pseudolikelihood
-999.0,12012.5,12168.5,156,1,5,ba_25,10000,Chao
-999.0,24257.749997431933,24413.749997431933,156,1,5,ba_25,10000,Turing Geometric
-999.0,8923.0,9079.0,156,1,5,ba_25,10000,Schnabel
-999.0,12012.167741470003,12168.167741470003,156,1,5,ba_25,10000,Zelterman
-999.0,9684.439973953,9840.439973953,156,1,5,ba_25,10000,Chao Lee Jeng 1
-999.0,13444.890819171604,13600.890819171604,156,1,5,ba_25,10000,Chao Lee Jeng 0
-999.0,308.75,464.75,156,1,5,ba_25,10000,Jackknife k = 4
-999.0,278.05,434.05,156,1,5,ba_25,10000,Jackknife k = 3
-999.0,308.75,464.75,156,1,5,ba_25,10000,Jackknife k = 5
-999.0,-1155,-999,156,1,5,ba_25,10000,Conway-Maxwell-Poisson
-999.0,9656.475000500835,9812.475000500835,156,1,5,ba_25,10000,Turing
-999.0,216.55,372.55,156,1,5,ba_25,10000,Jackknife k = 2
-999.0,124.0,280.0,156,1,5,ba_25,10000,Jackknife k = 1
-999.0,9684.439973953,9840.439973953,156,1,5,ba_25,10000,Chao Lee Jeng 2
1000.0,945.6147576906777,1244.6147576906778,299,1,10,ba_25,10000,Pseudolikelihood
-999.0,805.4756097560976,1104.4756097560976,299,1,10,ba_25,10000,Chao
-999.0,1946.9093833305096,2245.9093833305096,299,1,10,ba_25,10000,Turing Geometric
-999.0,841.0232558139535,1140.0232558139535,299,1,10,ba_25,10000,Schnabel
-999.0,795.5463645263624,1094.5463645263624,299,1,10,ba_25,10000,Zelterman
-999.0,787.5667060212513,1086.5667060212513,299,1,10,ba_25,10000,Chao Lee Jeng 1
-999.0,904.5430570933834,1203.5430570933834,299,1,10,ba_25,10000,Chao Lee Jeng 0
-999.0,638.1458333333333,937.1458333333333,299,1,10,ba_25,10000,Jackknife k = 4
-999.0,540.2874999999999,839.2874999999999,299,1,10,ba_25,10000,Jackknife k = 3
-999.0,708.9305555555555,1007.9305555555555,299,1,10,ba_25,10000,Jackknife k = 5
-999.0,64.97493422574672,363.9749342257467,299,1,10,ba_25,10000,Conway-Maxwell-Poisson
-999.0,800.1802266210232,1099.1802266210232,299,1,10,ba_25,10000,Turing
-999.0,407.7444444444444,706.7444444444444,299,1,10,ba_25,10000,Jackknife k = 2
-999.0,231.29999999999995,530.3,299,1,10,ba_25,10000,Jackknife k = 1
-999.0,788.5296898079764,1087.5296898079764,299,1,10,ba_25,10000,Chao Lee Jeng 2
1000.0,1848.0182848033164,2294.0182848033164,446,1,15,ba_25,10000,Pseudolikelihood
-999.0,1809.102272727273,2255.102272727273,446,1,15,ba_25,10000,Chao
-999.0,3880.034585355217,4326.034585355217,446,1,15,ba_25,10000,Turing Geometric
-999.0,1631.98,2077.98,446,1,15,ba_25,10000,Schnabel
-999.0,1807.395067145775,2253.395067145775,446,1,15,ba_25,10000,Zelterman
-999.0,1695.7869986168744,2141.7869986168744,446,1,15,ba_25,10000,Chao Lee Jeng 1
-999.0,1842.7064665979674,2288.7064665979674,446,1,15,ba_25,10000,Chao Lee Jeng 0
-999.0,1155.459706959707,1601.459706959707,446,1,15,ba_25,10000,Jackknife k = 4
-999.0,941.0322344322346,1387.0322344322346,446,1,15,ba_25,10000,Jackknife k = 3
-999.0,1333.0677655677655,1779.0677655677655,446,1,15,ba_25,10000,Jackknife k = 5
-999.0,1590.4792457207757,2036.4792457207757,446,1,15,ba_25,10000,Conway-Maxwell-Poisson
-999.0,1698.5205233047832,2144.520523304783,446,1,15,ba_25,10000,Turing
-999.0,682.7904761904763,1128.7904761904763,446,1,15,ba_25,10000,Jackknife k = 2
-999.0,372.4000000000001,818.4000000000001,446,1,15,ba_25,10000,Jackknife k = 1
-999.0,1697.8398296059631,2143.839829605963,446,1,15,ba_25,10000,Chao Lee Jeng 2
1000.0,2756.1963835586557,3319.1963835586557,563,1,20,ba_25,10000,Pseudolikelihood
-999.0,2730.6666666666665,3293.6666666666665,563,1,20,ba_25,10000,Chao
-999.0,5758.971923367894,6321.971923367894,563,1,20,ba_25,10000,Turing Geometric
-999.0,2443.1296296296296,3006.1296296296296,563,1,20,ba_25,10000,Schnabel
-999.0,2729.958391558458,3292.958391558458,563,1,20,ba_25,10000,Zelterman
-999.0,2593.564565953578,3156.564565953578,563,1,20,ba_25,10000,Chao Lee Jeng 1
-999.0,2754.6839797771236,3317.6839797771236,563,1,20,ba_25,10000,Chao Lee Jeng 0
-999.0,1580.7302631578946,2143.7302631578946,563,1,20,ba_25,10000,Jackknife k = 4
-999.0,1268.470614035088,1831.470614035088,563,1,20,ba_25,10000,Jackknife k = 3
-999.0,1849.7894736842104,2412.7894736842104,563,1,20,ba_25,10000,Jackknife k = 5
