a_hat,Nu_hat,N_hat,No,trial,T,graph,N,type
1000.0,27718.957974906793,28190.957974906793,472,1,5,sbm_50,10000,Pseudolikelihood
-999.0,27378.0,27850.0,472,1,5,sbm_50,10000,Chao
-999.0,55458.9999820447,55930.9999820447,472,1,5,sbm_50,10000,Turing Geometric
-999.0,21831.5,22303.5,472,1,5,sbm_50,10000,Schnabel
-999.0,27376.67236139782,27848.67236139782,472,1,5,sbm_50,10000,Zelterman
-999.0,21995.22753348045,22467.22753348045,472,1,5,sbm_50,10000,Chao Lee Jeng 1
-999.0,29371.7772624433,29843.7772624433,472,1,5,sbm_50,10000,Chao Lee Jeng 0
-999.0,931.0,1403.0,472,1,5,sbm_50,10000,Jackknife k = 4
-999.0,838.6000000000001,1310.6000000000001,472,1,5,sbm_50,10000,Jackknife k = 3
-999.0,931.0,1403.0,472,1,5,sbm_50,10000,Jackknife k = 5
-999.0,-1471,-999,472,1,5,sbm_50,10000,Conway-Maxwell-Poisson
-999.0,22042.700003501144,22514.700003501144,472,1,5,sbm_50,10000,Turing
-999.0,653.3999999999999,1125.3999999999999,472,1,5,sbm_50,10000,Jackknife k = 2
-999.0,374.4000000000001,846.4000000000001,472,1,5,sbm_50,10000,Jackknife k = 1
-999.0,21995.22753348045,22467.22753348045,472,1,5,sbm_50,10000,Chao Lee Jeng 2
1000.0,14306.884538791155,15273.884538791155,967,1,10,sbm_50,10000,Pseudolikelihood
-999.0,13659.765625,14626.765625,967,1,10,sbm_50,10000,Chao
-999.0,28730.02905863414,29697.02905863414,967,1,10,sbm_50,10000,Turing Geometric
-999.0,12739.84375,13706.84375,967,1,10,sbm_50,10000,Schnabel
-999.0,13649.281058851666,14616.281058851666,967,1,10,sbm_50,10000,Zelterman
-999.0,12617.839062499996,13584.839062499996,967,1,10,sbm_50,10000,Chao Lee Jeng 1
-999.0,14222.791947145537,15189.791947145537,967,1,10,sbm_50,10000,Chao Lee Jeng 0
-999.0,2700.1111111111113,3667.1111111111113,967,1,10,sbm_50,10000,Jackknife k = 4
-999.0,2183.911111111111,3150.911111111111,967,1,10,sbm_50,10000,Jackknife k = 3
-999.0,3121.3888888888887,4088.3888888888887,967,1,10,sbm_50,10000,Jackknife k = 5
