a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
22.1505199048459,1246.1938168715096,1467.1938168715096,221,1,5,46.4,1000.0,Pseudolikelihood
-999.0,4326.839203746929,4547.839203746929,221,1,5,46.4,1000.0,Turing Geometric
-999.0,18.202523941650696,239.2025239416507,221,1,5,46.4,1000.0,Huggins
-999.0,929.090909090909,1150.090909090909,221,1,5,46.4,1000.0,Schnabel
-999.0,2000.9744668021617,2221.9744668021617,221,1,5,46.4,1000.0,Zelterman
-999.0,406.25,627.25,221,1,5,46.4,1000.0,Jackknife k = 4
-999.0,367.54999999999995,588.55,221,1,5,46.4,1000.0,Jackknife k = 3
-999.0,406.25,627.25,221,1,5,46.4,1000.0,Jackknife k = 5
-999.0,210.0,431.0,221,1,5,46.4,1000.0,Conway-Maxwell-Poisson
-999.0,1666.3616960753332,1887.3616960753332,221,1,5,46.4,1000.0,Turing
-999.0,289.05,510.05,221,1,5,46.4,1000.0,Jackknife k = 2
-999.0,168.0,389.0,221,1,5,46.4,1000.0,Jackknife k = 1
-999.0,2004.5454545454545,2225.5454545454545,221,1,5,46.4,1000.0,Chao
4.728694846201424,1411.2676951030642,1718.2676951030642,307,1,10,34.4,1000.0,Pseudolikelihood
-999.0,2548.1499990716425,2855.1499990716425,307,1,10,34.4,1000.0,Turing Geometric
-999.0,8.384888942130317,315.3848889421303,307,1,10,34.4,1000.0,Huggins
-999.0,804.5945945945946,1111.5945945945946,307,1,10,34.4,1000.0,Schnabel
-999.0,1302.2217550073958,1609.2217550073958,307,1,10,34.4,1000.0,Zelterman
-999.0,733.0833333333333,1040.0833333333333,307,1,10,34.4,1000.0,Jackknife k = 4
-999.0,605.0500000000001,912.0500000000001,307,1,10,34.4,1000.0,Jackknife k = 3
-999.0,834.2222222222224,1141.2222222222224,307,1,10,34.4,1000.0,Jackknife k = 5
-999.0,4071.194150886213,4378.194150886213,307,1,10,34.4,1000.0,Conway-Maxwell-Poisson
-999.0,1067.3935627728706,1374.3935627728706,307,1,10,34.4,1000.0,Turing
-999.0,445.1777777777777,752.1777777777777,307,1,10,34.4,1000.0,Jackknife k = 2
-999.0,246.60000000000002,553.6,307,1,10,34.4,1000.0,Jackknife k = 1
-999.0,1294.4137931034484,1601.4137931034484,307,1,10,34.4,1000.0,Chao
0.21088787680807175,4833.241990404566,5198.241990404566,365,1,15,30.133333333333333,1000.0,Pseudolikelihood
-999.0,1576.1589667610676,1941.1589667610676,365,1,15,30.133333333333333,1000.0,Turing Geometric
-999.0,5.361659045475051,370.36165904547505,365,1,15,30.133333333333333,1000.0,Huggins
-999.0,521.0344827586207,886.0344827586207,365,1,15,30.133333333333333,1000.0,Schnabel
-999.0,817.5203958572947,1182.5203958572947,365,1,15,30.133333333333333,1000.0,Zelterman
-999.0,772.1407814407817,1137.1407814407817,365,1,15,30.133333333333333,1000.0,Jackknife k = 4
-999.0,654.4985347985349,1019.4985347985349,365,1,15,30.133333333333333,1000.0,Jackknife k = 3
-999.0,849.6499389499388,1214.6499389499388,365,1,15,30.133333333333333,1000.0,Jackknife k = 5
-999.0,5427.089632601907,5792.089632601907,365,1,15,30.133333333333333,1000.0,Conway-Maxwell-Poisson
-999.0,648.7844929512993,1013.7844929512993,365,1,15,30.133333333333333,1000.0,Turing
-999.0,492.13809523809516,857.1380952380952,365,1,15,30.133333333333333,1000.0,Jackknife k = 2
-999.0,278.1333333333333,643.1333333333333,365,1,15,30.133333333333333,1000.0,Jackknife k = 1
-999.0,807.3090909090909,1172.3090909090909,365,1,15,30.133333333333333,1000.0,Chao
0.37107005848156077,2553.995114755826,2972.995114755826,419,1,20,27.9,1000.0,Pseudolikelihood
-999.0,1274.1656283008865,1693.1656283008865,419,1,20,27.9,1000.0,Turing Geometric
-999.0,4.122570085147856,423.12257008514786,419,1,20,27.9,1000.0,Huggins
