w_hat,a_hat,Nu_hat,N_hat,No,trial,T,alpha,N,type
1.0e-6,1196.1851536491436,278.752120600372,478.752120600372,200,694,5,0.5,1000,MPLE-NB
1.0e-6,1.0,677.9652487980686,877.9652487980686,200,694,5,0.5,1000,MPLE-G
-999.0,-999.0,274.390243902439,474.390243902439,200,694,5,0.5,1000,Chao
-999.0,-999.0,636.8881347601289,836.8881347601289,200,694,5,0.5,1000,Turing Geometric
-999.0,-999.0,148.03389830508473,348.03389830508473,200,694,5,0.5,1000,Schnabel
-999.0,-999.0,274.91971006596947,474.91971006596947,200,694,5,0.5,1000,Zelterman
-999.0,-999.0,251.19431891542933,451.19431891542933,200,694,5,0.5,1000,Chao Lee Jeng 1
-999.0,-999.0,414.52457931078834,614.5245793107883,200,694,5,0.5,1000,Chao Lee Jeng 0
-999.0,-999.0,251.0,451.0,200,694,5,0.5,1000,Jackknife k = 4
-999.0,-999.0,232.25,432.25,200,694,5,0.5,1000,Jackknife k = 3
-999.0,-999.0,251.0,451.0,200,694,5,0.5,1000,Jackknife k = 5
-999.0,-999.0,636.8881347601289,836.8881347601289,200,694,5,0.5,1000,Conway-Maxwell-Poisson
-999.0,-999.0,204.2284535986422,404.2284535986422,200,694,5,0.5,1000,Turing
-999.0,-999.0,191.55,391.55,200,694,5,0.5,1000,Jackknife k = 2
-999.0,-999.0,120.0,320.0,200,694,5,0.5,1000,Jackknife k = 1
-999.0,-999.0,280.53545771465457,480.53545771465457,200,694,5,0.5,1000,Chao Lee Jeng 2
1.0e-6,2.6071724442214665,326.2873439822356,607.2873439822356,281,694,10,0.5,1000,MPLE-NB
1.0e-6,1.0,544.5578234551891,825.5578234551891,281,694,10,0.5,1000,MPLE-G
-999.0,-999.0,216.49324324324323,497.4932432432432,281,694,10,0.5,1000,Chao
-999.0,-999.0,517.792292966075,798.792292966075,281,694,10,0.5,1000,Turing Geometric
-999.0,-999.0,122.15862068965515,403.15862068965515,281,694,10,0.5,1000,Schnabel
